"company_name","company_domain","playbook_name","location","size_band"
"AEROCOMPACT","aerocompact.com","Precision Metal Forming","Austria","50+"
"ALCAR Group","alcar-wheels.com","Precision Metal Forming","Austria","50+"
"Alpen-Maykestag GmbH","a-mk.com","Precision Metal Forming","Austria","50+"
"Amann Girrbach AG","amanngirrbach.com","Precision Metal Forming","Austria","50+"
"Aspöck Systems GmbH","aspoeck.com","Precision Metal Forming","Austria","50+"
"ASTOTEC Automotive GmbH","astotec.com","Precision Metal Forming","Austria","50+"
"Austria Email AG","austria-email.at","Precision Metal Forming","Austria","50+"
"BECOM Group","becom-group.com","Precision Metal Forming","Austria","50+"
"Berndorf Band Group","berndorfband-group.com","Precision Metal Forming","Austria","50+"
"Biohort GmbH","biohort.com","Precision Metal Forming","Austria","50+"
"Blechtechnik Koller GmbH","blechtech.at","Precision Metal Forming","Austria","50+"
"Boehlerit GmbH & Co KG","boehlerit.com","Precision Metal Forming","Austria","50+"
"Busatis GmbH","busatis.com","Precision Metal Forming","Austria","50+"
"CMS Electronics GmbH","cms-electronics.com","Precision Metal Forming","Austria","50+"
"Eisenwerk Sulzau-Werfen R. & E. Weinberger AG","esw.co.at","Precision Metal Forming","Austria","50+"
"ELIN Motoren GmbH","elinmotoren.com","Precision Metal Forming","Austria","50+"
"ELSTA-Mosdorfer GmbH","elsta.com","Precision Metal Forming","Austria","50+"
"Erne Fittings GmbH","ernefittings.com","Precision Metal Forming","Austria","50+"
"EVVA Sicherheitstechnologie GmbH","evva.com","Precision Metal Forming","Austria","50+"
"Forster","forster.at","Precision Metal Forming","Austria","50+"
"Frauenthal Automotive / Ventana Group","ventana.at","Precision Metal Forming","Austria","50+"
"Friedrich Deutsch Metallwerk Ges.m.b.H.","metalldeutsch.com","Precision Metal Forming","Austria","50+"
"Fulterer GmbH","fulterer.com","Precision Metal Forming","Austria","50+"
"Gebauer & Griller (GG Group)","gg-group.com","Precision Metal Forming","Austria","50+"
"Grass GmbH","grass.eu","Precision Metal Forming","Austria","50+"
"GW St. Pölten Integrative Betriebe GmbH","gw-stpoelten.com","Precision Metal Forming","Austria","50+"
"Hammerer Aluminium Industries GmbH","hai-aluminium.com","Precision Metal Forming","Austria","50+"
"Hawle Austria Group","hawle.com","Precision Metal Forming","Austria","50+"
"HENN Connector Group","henn-group.com","Precision Metal Forming","Austria","50+"
"Herz Armaturen Ges.m.b.H.","herz.eu","Precision Metal Forming","Austria","50+"
"Hirschmann Automotive GmbH","hirschmann-automotive.com","Precision Metal Forming","Austria","50+"
"HITZINGER Power Solutions GmbH","hitzinger.at","Precision Metal Forming","Austria","50+"
"INNOTECH Arbeitsschutz GmbH","innotech.at","Precision Metal Forming","Austria","50+"
"iSi Group","isi.com","Precision Metal Forming","Austria","50+"
"ITS Implants (Implant Technology Systems)","its-implant.com","Precision Metal Forming","Austria","50+"
"Julius Blum GmbH","blum.com","Precision Metal Forming","Austria","50+"
"KLINGER Fluid Control GmbH","kfc.at","Precision Metal Forming","Austria","50+"
"Kraus & Naimer","krausnaimer.com","Precision Metal Forming","Austria","50+"
"Lohberger Group","lohberger.com","Precision Metal Forming","Austria","50+"
"MACO (Mayer & Co Beschläge GmbH)","maco.eu","Precision Metal Forming","Austria","50+"
"MARK Metallwarenfabrik GmbH","mark.at","Precision Metal Forming","Austria","50+"
"Melecs EWS GmbH","melecs.com","Precision Metal Forming","Austria","50+"
"Metal Competencies GmbH","metal-competencies.com","Precision Metal Forming","Austria","50+"
"Metalltechnik Vils GmbH","metalltechnik-vils.com","Precision Metal Forming","Austria","50+"
"Metallwaren Hofmaninger Ges.m.b.H.","h-metall.at","Precision Metal Forming","Austria","50+"
"Metallwarenfabrik Heinrich Sachs KG (SAX)","sax.info","Precision Metal Forming","Austria","50+"
"Meusburger Georg GmbH & Co KG","meusburger.com","Precision Metal Forming","Austria","50+"
"Miba AG","miba.com","Precision Metal Forming","Austria","50+"
"Miba Cooling Austria","miba-cooling.com","Precision Metal Forming","Austria","50+"
"Miba Resistors (EBG Elektronische Bauelemente)","miba-resistors.com","Precision Metal Forming","Austria","50+"
"MKW Group","mkw.at","Precision Metal Forming","Austria","50+"
"Modelleisenbahn GmbH (Roco/Fleischmann)","moba.cc","Precision Metal Forming","Austria","50+"
"Mosdorfer GmbH","mosdorfer.com","Precision Metal Forming","Austria","50+"
"MSG Mechatronic Systems GmbH","msg-automotive.com","Precision Metal Forming","Austria","50+"
"Neuman Aluminium","neuman.at","Precision Metal Forming","Austria","50+"
"Pankl Racing Systems AG","pankl.com","Precision Metal Forming","Austria","50+"
"PAYER Group","payergroup.com","Precision Metal Forming","Austria","50+"
"PC Electric GmbH","pcelectric.at","Precision Metal Forming","Austria","50+"
"pewag Group","pewag.com","Precision Metal Forming","Austria","50+"
"Pirlo Group","pirlo.com","Precision Metal Forming","Austria","50+"
"Plansee SE","plansee.com","Precision Metal Forming","Austria","50+"
"Pollmann International GmbH","pollmann.at","Precision Metal Forming","Austria","50+"
"PREIS GmbH","preisgroup.com","Precision Metal Forming","Austria","50+"
"PÖTTINGER Landtechnik GmbH","poettinger.at","Precision Metal Forming","Austria","50+"
"Raimund Beck KG (BECK Fastening)","beck-fastening.com","Precision Metal Forming","Austria","50+"
"Rejlek Metal&Plastics Group","rejlek.at","Precision Metal Forming","Austria","50+"
"REMUS Innovation GmbH","remus.eu","Precision Metal Forming","Austria","50+"
