company_name,company_domain,playbook_name
2M Recycling,2m-recycling.de,Müllentsorgung
2nd way Recycling,second-way.de,Müllentsorgung
3S Sonderabfaelle,3s-sonderabfall.de,Müllentsorgung
A&A Metalle Schrotthandel,aa-metalle.de,Müllentsorgung
A&M Containerdienst St. Wendel,containerdienst-st-wendel.de,Müllentsorgung
A&M Entrümpelung,am-entruempelung.de,Müllentsorgung
A&S Detox Schadstoffsanierung,asdetox.de,Müllentsorgung
A. Huber Umwelt- und Entsorgungspartner,huber-hilft.de,Müllentsorgung
A.M Demontage & Abbruch GmbH,demontageabbruch.de,Müllentsorgung
A.R.T. Verwertungs- und Sortiergesellschaft,art-verso.de,Müllentsorgung
A.TO Abfallwirtschaft Torgau-Oschatz,ato-online.de,Müllentsorgung
AAB Wurmböck,aab-wurmboeck.de,Müllentsorgung
AAS Schneider,aas-schneider.de,Müllentsorgung
ABA Asbest,asbestentsorger.de,Müllentsorgung
ABB Containerdienst,abb-containerdienst.de,Müllentsorgung
Abbruch Otto,abbruch-otto.de,Müllentsorgung
Abbruch Weinert,abbruch-weinert.de,Müllentsorgung
ABC Container Goeke,abccontainer.de,Müllentsorgung
ABC Schrott,abc-schrott.de,Müllentsorgung
ABEG Abfallentsorgungsgesellschaft mbH,abeg-berlin.de,Müllentsorgung
Abeln und Sohn,abeln-sohn.de,Müllentsorgung
Abfall und Entsorgung Landkreis Miesbach,landkreis-miesbach.de,Müllentsorgung
Abfall- und Ressourcenwirtschaft Hohenlohekreis,hohenlohekreis.de,Müllentsorgung
Abfall-Service Osterholz GmbH,aso-ohz.de,Müllentsorgung
Abfall-Wirtschafts-Zweckverband Ostthüringen,awv-ot.de,Müllentsorgung
Abfallbehandlungsgesellschaft Havelland,abfall-havelland.de,Müllentsorgung
Abfallberatung Stadt Amberg,amberg.de,Müllentsorgung
Abfallbetrieb Kreis Viersen,abfallbetrieb-kreis-viersen.de,Müllentsorgung
Abfallbewirtschaftung Landkreis Gifhorn,landkreis-gifhorn.de,Müllentsorgung
Abfallentsorgung Hochsauerlandkreis AHSK,ahsk.de,Müllentsorgung
Abfallentsorgung Kreis Kassel,abfall-kreis-kassel.de,Müllentsorgung
Abfallentsorgung Landkreis Stendal,als-stendal.de,Müllentsorgung
Abfallentsorgung Stadt Brandenburg an der Havel,stadt-brandenburg.de,Müllentsorgung
Abfallentsorgung Vogtlandkreis,vogtlandkreis.de,Müllentsorgung
Abfallentsorgungsverband Schwarze Elster,schwarze-elster.de,Müllentsorgung
Abfallexpress,abfallexpress.de,Müllentsorgung
Abfalllogistik Steinburg,abfall-steinburg.de,Müllentsorgung
Abfallservice Kreis Höxter,abfallservice.kreis-hoexter.de,Müllentsorgung
Abfallservice Landkreis Gotha,abfallservice-gotha.de,Müllentsorgung
Abfallwirtschaft Alb-Donau-Kreis,aw-adk.de,Müllentsorgung
Abfallwirtschaft Alb-Donau-Kreis,alb-donau-kreis.de,Müllentsorgung
Abfallwirtschaft Altmarkkreis Salzwedel,altmarkkreis-salzwedel.de,Müllentsorgung
Abfallwirtschaft Böblingen,awb-bb.de,Müllentsorgung
Abfallwirtschaft Dithmarschen,awd-online.de,Müllentsorgung
Abfallwirtschaft Donnersbergkreis,donnersberg.de,Müllentsorgung
Abfallwirtschaft Enzkreis,abfallwirtschaft-enzkreis.de,Müllentsorgung
Abfallwirtschaft Heidekreis,ahk-heidekreis.de,Müllentsorgung
Abfallwirtschaft Hohenlohekreis,abfallwirtschaft-hohenlohekreis.de,Müllentsorgung
Abfallwirtschaft Ilm-Kreis,ilm-kreis.de,Müllentsorgung
Abfallwirtschaft Kreis Dithmarschen,dithmarschen.de,Müllentsorgung
Abfallwirtschaft Kreis Gütersloh,kreis-guetersloh.de,Müllentsorgung
Abfallwirtschaft Kreis Herford,kreis-herford.de,Müllentsorgung
Abfallwirtschaft Kreis Mettmann,kreis-mettmann.de,Müllentsorgung
Abfallwirtschaft Kreis Pinneberg,kreis-pinneberg.de,Müllentsorgung
Abfallwirtschaft Kreis Plön,kreis-ploen.de,Müllentsorgung
Abfallwirtschaft Kreis Schleswig-Flensburg,schleswig-flensburg.de,Müllentsorgung
Abfallwirtschaft Kreis Steinburg,kreis-steinburg.de,Müllentsorgung
Abfallwirtschaft Kreis Wesel,kreis-wesel.de,Müllentsorgung
Abfallwirtschaft Kyffhäuserkreis,abfall-kyffhaeuser.de,Müllentsorgung
Abfallwirtschaft Lahn-Dill AWLD,awld.de,Müllentsorgung
Abfallwirtschaft Lahn-Fulda ALF,a-lf.de,Müllentsorgung
Abfallwirtschaft Landeshauptstadt Dresden,dresden.de,Müllentsorgung
Abfallwirtschaft Landkreis Aichach-Friedberg,lra-aic-fdb.de,Müllentsorgung
Abfallwirtschaft Landkreis Altötting,lra-aoe.de,Müllentsorgung
Abfallwirtschaft Landkreis Anhalt-Bitterfeld,anhalt-bitterfeld.de,Müllentsorgung
Abfallwirtschaft Landkreis Ansbach,landkreis-ansbach.de,Müllentsorgung
Abfallwirtschaft Landkreis Aschaffenburg,landkreis-aschaffenburg.de,Müllentsorgung
Abfallwirtschaft Landkreis Bamberg,landkreis-bamberg.de,Müllentsorgung
Abfallwirtschaft Landkreis Bautzen,landkreis-bautzen.de,Müllentsorgung
Abfallwirtschaft Landkreis Bayreuth,landkreis-bayreuth.de,Müllentsorgung
Abfallwirtschaft Landkreis Breisgau-Hochschwarzwald (ALB),breisgau-hochschwarzwald.de,Müllentsorgung
Abfallwirtschaft Landkreis Cloppenburg,lkclp.de,Müllentsorgung
Abfallwirtschaft Landkreis Coburg,landkreis-coburg.de,Müllentsorgung
Abfallwirtschaft Landkreis Cochem-Zell,cochem-zell.de,Müllentsorgung
