company,domain,city,state,plz,language,signal
Alois Dallmayr Kaffee oHG,dallmayr.de,Munich,Bavaria,80331,de,
Delicious Data GmbH,delicious-data.com,Munich,Bavaria,80331,de,
Äager GmbH,aager.de,Muenchen,Bayern,80331,de,
Siemens,siemens.com,Munich,Bavaria,80333,de,
yfood Labs,yfood.eu,Muenchen,Bayern,80336,de,
MAN Truck & Bus SE,man.eu,Munich,Bavaria,80339,de,
EVOMECS GmbH,evomecs.com,Munich,Bavaria,80538,de,
DOBLER METALLBAU GMBH,dobler-metallbau.com,Munich,Bavaria,80686,de,
fairafric,fairafric.com,Munich,Bavaria,80687,de,
Magazino – a Jungheinrich company,magazino.eu,Muenchen,Bayern,80687,de,
DSI Underground Group (acquired by Sandvik),rocktechnology.sandvik,Munich,Bavaria,80796,de,
Mech-Mind Robotics,mech-mind.com,Munich,Bavaria,80796,de,
Wacker Neuson,wackerneuson.com,Munich,Bavaria,80796,de,
Cognition Factory,cognitionfactory.com,Munich,Bavaria,80797,de,
Franka Robotics,franka.de,Munich,Bavaria,80797,de,
Manex AI,manex.ai,Munich,Bavaria,80797,de,
ZELLNER Baumaschinen,zellner-baumaschinen.de,Munich,Bavaria,80799,de,
Noyes Technologies,noyes-tech.com,Munich,Bavaria,80802,de,
KMT GmbH,kmt.eu,Munich,Bavaria,80807,de,
MARTIN GmbH für Umwelt- und Energietechnik,martingmbh.de,Munich,Bavaria,80807,de,
PARADOX CAT GmbH,paradoxcat.com,Munich,Bavaria,80807,de,
BMW Group,bmwgroup.com,Muenchen,Bayern,80809,de,
Knorr-Bremse AG,knorr-bremse.com,Muenchen,Bayern,80809,de,
Maxphotonics GmbH,maxphotonics.com,Muenchen,Bayern,80809,de,
UNO MINDA Europe Group,unominda-systems.com,Munich,Bavaria,80809,de,
Wacker Neuson Group,wackerneusongroup.com,Munich,Bavaria,80809,de,
FEV EVA GmbH,fev-eva.com,Munich,Bavaria,80939,de,
Aiways,ai-ways.eu,Munich,Bavaria,80992,de,
Automation W+R GmbH,automationwr.de,Munich,Bavaria,80992,de,
DeepDrive,deepdrive.tech,Munich,Bavaria,80999,de,
Hoffmann Group,hoffmann-group.com,Munich,Bavaria,81241,de,
Liqmatic GmbH,liqmatic.de,Munich,Bavaria,81241,de,
