company_name,domain
Accor (Novotel Airport),accor.com
Aer Rianta International,ari.ie
Airport Dimensions,airportdimensions.com
Amavita Apotheke,amavita.ch
Austrian Airlines Lounges,austrian.com
Autogrill,autogrill.com
Avolta (Dufry),avolta.com
Choice Hotels (Comfort/Clarion Airport),choicehotels.com
citizenM,citizenm.com
Clayton Hotels,claytonhotels.com
Collinson Group (Priority Pass),collinsongroup.com
Deutsche Hospitality / Steigenberger (H Rewards),hrewards.com
Flughafen Düsseldorf (DUS),dus.com
Flughafen Wien (Vienna Airport),viennaairport.com
Flughafen Zürich,flughafen-zuerich.ch
Flughafen-Apotheke Wien,flughafen-apotheke.at
Frankfurt Airport Retail,frankfurt-airport.com
Fraport,fraport.com
Gebr. Heinemann,gebr-heinemann.com
Groupe ADP / Paris Aéroport,parisaeroport.fr
Hamburg Airport,hamburg-airport.de
Heinemann Duty Free,heinemann-shop.com
Hilton Hotels,hilton.com
Hilton Munich Airport (Mountain Hub Spa),mountainhub.de
HMSHost,hmshost.com
Hyatt (Regency Airport),hyatt.com
Istanbul Airport (iGA),istairport.com
L'Oréal Travel Retail,loreal.com
Lagardère Travel Retail,lagardere-tr.com
Lotte Duty Free,lottedfs.com
Lufthansa Lounges,lufthansa.com
Maritim Hotels,maritim.com
Marriott (Moxy Airport),marriott.com
Meliá Hotels / INNSiDE,melia.com
Metropolitan Pharmacy,metropolitan-pharmacy.com
Munich Airport,munich-airport.com
Oceania Hotels (Roissy CDG),oceaniahotels.com
Plaza Premium Group,plazapremiumlounge.com
Radisson Hotels,radissonhotels.com
Sleep & Fly Barcelona Airport,sleep-fly.com
Sofitel London Heathrow,sofitelheathrow.com
SSP Group,foodtravelexperts.com
Star Alliance,staralliance.com
Strawberry Hotels (Clarion Airport),strawberryhotels.com
Swissport (Aspire Lounges),swissport.com
Thon Hotels,thonhotels.com
Turkish Airlines Lounges,turkishairlines.com
Van der Valk Hotel Brussels Airport,hotelbrusselsairport.com
Van der Valk Hotel Schiphol,hotelschiphol.com
Victoria Apotheke (Zürich Flughafen),victoria-apotheke.ch
WOW Airport Hotel Istanbul,wowairporthotel.com
XpresSpa (XWELL),xwell.com
YOTEL / YOTELAIR,yotel.com
