company_name,domain
10x Founders,10xfounders.com
1A Autenrieth Kunststofftechnik GmbH & Co. KG,autenrieth-kunststofftechnik.de
1A CUE Consulting & Engineering GmbH,1acue.de
1stQ Deutschland GmbH,1stq.de
1zu1 Prototypen GmbH Co KG,1zu1prototypen.com
2D Debus Diebold Meßsysteme GmbH,2d-datarecording.com
2P Partners,2p-partners.com
2perspectives,2perspectives.de
2SPL PartG mbB,2spl.de
3C-Carbon Group AG,3c-carbon-group.com
3D Global GmbH,3d-global.com
3D MicroPrint GmbH,3dmicroprint.com
3D-MODEL,3d-model.com
415 Capital,415capital.com
4am Robotics,4am-robotics.com
4Bases SA,4bases.ch
4H-JENA engineering GmbH,4h-jena.de
4IoT,4iot.de
4medic GmbH,4medic.de
4POS AG,4pos.com
4SC AG,4sc.com
4Soft,4soft.de
A&R Textilproduktion GmbH,ar-textil.com
A. SCHWEIZER GmbH,schweizer-optik.de
A.R.C. Laser GmbH,arclaser.de
A2 Doku GmbH,a2-doku.de
Aalberts surface technologies,aalberts-st.com
Aalen University,hs-aalen.de
aap Implantate AG,aap.de
Aaronia AG,aaronia.com
Aaronn Electronic GmbH,aaronn.de
AAT Alber Antriebstechnik GmbH,aat-online.de
AAT Automation GmbH,aat-gmbh.de
AB-CT Advanced Breast-CT,ab-ct.com
abaut GmbH,abaut.de
ABEL Pump Technology,abelpumps.com
Abele Ingenieure GmbH,abele-ingenieure.de
Abionic,abionic.com
ABM Greiffenberger Antriebstechnik GmbH,abm-antriebe.de
Absolut PersonalManagement,absolut-personal.de
ABX advanced biochemical compounds GmbH,abx.de
AC Motoren GmbH,ac-motoren.com
Academia Gruppe,academia-gruppe.de
acatech – Deutsche Akademie der Technikwissenschaften,acatech.de
ACCRETECH Europe GmbH,accretech.eu
ACD Elektronik GmbH,acd-gruppe.de
ACKERMANN Anwendungstechnik & Vorrichtungsbau GmbH,aat-solutions.de
ACL,acl.de
Aconity3D GmbH,aconity3d.com
acontis technologies,acontis.com
acp systems AG,acp-systems.com
ACTIMI,actimi.com
activeMind AG,activemind.de
Actuator Solutions GmbH,actuatorsolutions.de
Acura Fachklinik GmbH | Fachklinik für Orthopädie,acura-fachklinik.de
acurata GmbH & Co. KGaA,acurata.de
ADAPT Elektronik GmbH,adapt.de
Adapterbau Kokott GmbH & Co. KG,adapterbau-kokott.de
ADDVANCE Consumer Health Group,addvance-consumer-health.com
Adelbert Haas LLC,multigrind.com
Adelhelm Unternehmensgruppe,adelhelm.de
adeor medical AG,adeor.com
Adiro Automatisierungstechnik GmbH,adiro.com
AdjuCor GmbH,adjucor.com
ADLATUS Robotics GmbH,adlatus.eu
admatec GmbH,admatec.de
ADMEDES,admedes.com
adphos Group,adphosna.com
Adragos Pharma,adragos-pharma.com
ADS-TEC Industrial IT,ads-tec-iit.com
Advanced Mechatronics GmbH,advanced-mechatronics.de
Advanced Medical Balloons,amb-medtec.com
ADVANOVA GmbH,advanova.de
AdvaTec Projects,advatec-projects.com
ADVITOS GmbH,advitos.com
adViva GmbH,adviva-info.de
advotec. Patent- und Rechtsanwälte,advotec.de
Aeculap AG,aesculap.de
AED Vantage,aed-vantage.com
AEMtec GmbH,aemtec.com
AEP Architekten Eggert,eggert-architekten.de
Aerotech Peissenberg,aerotech.de
AES Aerospace Embedded Solutions GmbH,aes.de
Aesculap Academy,aesculap-academy.com
AESKU.GROUP,aesku.com
AESOLAR,ae-solar.com
AFFELDT Maschinenbau GmbH,affeldt.com
AFR Engineering GmbH,afr-engineering.com
Afra GmbH,afra.de
AFRISO,afriso.com
Agamus Consult,agamus.com
AGAPLESION BETHESDA KLINIK ULM,bethesda-ulm.de
ageneo Life Science Experts (Interim Solutions) GmbH,ageneo.de
AGIC Capital,agic-group.com
Agile Robots SE,agile-robots.com
AGILOX,agilox.net
Ahlborn Mess- und Regelungstechnik GmbH,ahlborn.com
AHN Biotechnologie GmbH,ahn-bio.com
AICHELIN Service GmbH,aichelin-service.com
AICI GmbH,aici.de
AID Autoimmun Diagnostika GmbH,aid-diagnostika.com
AIGO-TEC GmbH,aigo-tec.com
AIR Artificial Intelligence Regensburg,air-regensburg.de
AIRMO,airmo.io
AIRTEC | 20-22 OCT 2026 | GERMANY,airtec.aero
AIS GmbH,ais-sensors.de
ait-deutschland GmbH,aitgroup.com
AITAD GmbH,aitad.de
Aiways,ai-ways.eu
aixACCT Systems GmbH,aixacct.com
AIXTRON SE,aixtron.com
AKB Elke Dodenhoff GmbH,akb-pflegedienst.de
AKE technologies GmbH,ake-technologies.de
AKTORmed Robotic Surgery,aktormed.com
ALB FILS KLINIKUM GmbH,alb-fils-klinikum.de
Alber GmbH,alber.de
Albert & Hummel GmbH,aundh.com
Albert Fezer Maschinenfabrik GmbH,fezer.com
Albert Klopfer GmbH,klopfer-tooling.de
ALBERT WEBER,a-weber.com
albrecht - Funktionelle Rehabilitation,albrechtgmbh.com
Albrecht Elektrotechnik GmbH,albrecht-elektrotechnik.de
ALD Vacuum Technologies GmbH,ald-vt.com
AliveDx,alivedx.com
alkitronic®,alkitronic.com
All Sensors GmbH,allsensors.eu
ALLERGIKA Pharma GmbH,allergika.de
Allgeier Engineering GmbH,allgeier-engineering.com
Allgeier Experts,emagine.org
Allianz X,allianzx.com
ALLMATIC-Jakob Spannsysteme GmbH,allmatic.de
ALLOD Werkstoff GmbH & Co. KG,allod.com
ALLPLAN,allplan.com
Alma Lasers GmbH,alma-lasers.de
ALMEX GmbH,almex.de
ALMiG Kompressoren GmbH,almig.de
Alpha Dent Implants GmbH,alpha-dent.net
Alpine Space Ventures,alpinespace.vc
Alpinion Medical Deutschland GmbH,alpinion.de
ALPMA Alpenland Maschinenbau GmbH,alpma.com
Alsanza GmbH,alsanza.com
Alsitan GmbH,alsitan.de
ALTATEC GmbH,altatec.de
ALTEN Consulting Services,alten-consulting.de
ALTEN Germany,alten-germany.de
Altmann GmbH & Co. KG,altmann-industrietechnik.de
Altratec,altratec.de
Alup Kompressoren,alup.com
Alztec GmbH,alztec.com
AM Logistic Solutions,amlogisticsolutions.de
AM Solutions,solutions-for-am.com
AM Ventures,amventures.com
Ambright GmbH,ambright.de
Ambulanz Rosenheim GmbH,ambulanz-rosenheim.de
AMCM GmbH,amcm.com
American Dental Systems GmbH,adsystems.de
Amgen Deutschland,amgen.de
AMIPLANT GmbH,amiplant.com
AMKmotion GmbH + Co KG,amk-motion.com
AMNOTEC,amnotec.de
Ampegon,ampegon.com
Amphenol-Tuchel Electronics GmbH,amphenol.de
Amphenol-Tuchel Electronics GmbH,amphenol-automotive.de
AMS Technologies,amstechnologies-webshop.com
AMS Technologies AG,amstechnologies.com
AMServ Gruppe,amserv.de
AMSilk GmbH | Biogenius Materials,amsilk.com
Amsler Frey AG,amsler-frey.ch
AMTC,amtc-dresden.com
AMW GmbH,amw-pharmaceuticals.com
Analyticon Biotechnologies GmbH,analyticon-diagnostics.com
ANavS GmbH – Advanced Navigation Solutions,anavs.com
ANCHOR Diagnostics,anchor-diagnostics.com
anest Gruppe,anest.de
