company_name,domain
n8n,n8n.io
DENSO Robotics Europe,densorobotics-europe.com
KTR Systems GmbH,ktr.com
HELUKABEL GmbH,helu.com
Stemmann-Technik GmbH - a Wabtec Company,stemmann.com
Gebr. Heller Maschinenfabrik GmbH,heller.biz
Redstone,redstone.vc
SMC Deutschland,smc.de
SpiraTec AG,spiratec.com
ROTHENBERGER Werkzeuge GmbH,rothenberger.com
Schmersal Group,schmersal.com
DAHER INDUSTRIAL SERVICES GmbH,daher-industrialservices-careers.com
EO Executives - Results through people,eoexecutives.com
FoodLabs,foodlabs.com
Zeppelin Power Systems GmbH,zeppelin-powersystems.com
NACHI ROBOTICS -EUROPE,nachi-robotics.de
FRICKE Group,fricke.de
Schenck,schenck-rotec.com
Amada GmbH,amada-machinery.com
MAX STREICHER GmbH & Co. KG aA,streicher.de
Bechtle PLM,bechtle-plm.de
Ant Robotics GmbH,antrobotics.de
CONTACT Software,contact-software.com
Digitaltest,digitaltest.com
IMA Schelling Deutschland,imaschelling.com
Hermes Fulfilment DACH,hermes-fulfilment.de
Bosch Ventures,bosch.ventures
Avacon Gruppe,avacon.de
vhf Group,vhf.com
Heinze GmbH,heinze.de
IPG Photonics GmbH & Co. KG,ipgphotonics.com
Fraunhofer IOF,iof.fraunhofer.de
DOCTER OPTICS SE,docteroptics.com
Photonics Precision Engineering,ppe-jena.com
Glasfaser NordWest GmbH & Co. KG,glasfaser-nordwest.de
Helmut Fischer Global,helmut-fischer.com
SmarAct Group,smaract.com
Economic Development Agency Brandenburg (WFBB),wfbb.de
LASEROPTIK GmbH,laseroptik.com
Photonics Systems Group,photonics-systems-group.com
ModuleWorks,moduleworks.com
Fraunhofer Research Institution for Battery Cell Production FFB,ffb.fraunhofer.de
LAYERTEC,layertec.de
Hochschule Mittweida,hs-mittweida.de
HOLOEYE Photonics AG,holoeye.com
scia Systems GmbH,scia-systems.com
RAITH Group,raith.com
BBW Lasertechnik,bbw-lasertechnik.de
Stadtwerke Karlsruhe,stadtwerke-karlsruhe.de
HEGLA GmbH & Co. KG,hegla.com
