company_name,company_domain,playbook_name,location
Moeller Aerospace,moeller-aerospace.com,Luft- & Raumfahrt / Defense,USA
RivCut,rivcut.com,Luft- & Raumfahrt / Defense,USA
Ace Precision Machining,aceprecision.com,Luft- & Raumfahrt / Defense,USA
OGS Industries,ogsindustries.com,Luft- & Raumfahrt / Defense,USA
Miller CNC,millercnc.com,Luft- & Raumfahrt / Defense,USA
AeroCision India,aerocisionindia.com,Luft- & Raumfahrt / Defense,India
Samarth Precision,samarthprecision.com,Luft- & Raumfahrt / Defense,India
Eigen Engineering,eigenengineering.com,Luft- & Raumfahrt / Defense,India
Hindustan Aeronautics Limited,hal-india.co.in,Luft- & Raumfahrt / Defense,India
Dynamatic Technologies,dynamatics.com,Luft- & Raumfahrt / Defense,India
Tata Advanced Systems,tataadvancedsystems.com,Luft- & Raumfahrt / Defense,India
Skill-Lync,skill-lync.com,Luft- & Raumfahrt / Defense,USA
ST Engineering - Pensacola Aerospace,stengg-aero.us,Luft- & Raumfahrt / Defense,USA
SEKISUI Aerospace Corporation,sekisuiaerospace.com,Luft- & Raumfahrt / Defense,USA
"Softworld, a Kelly Company",softworldinc.com,Luft- & Raumfahrt / Defense,USA
Revolution Technologies,revolutiontechnologies.com,Luft- & Raumfahrt / Defense,USA
Sierra Space,sierraspace.com,Luft- & Raumfahrt / Defense,USA
Adams Rite Aerospace,araero.com,Luft- & Raumfahrt / Defense,USA
Senior Aerospace SSP,seniorssp.com,Luft- & Raumfahrt / Defense,USA
Radius Aerospace,radiusaerospace.com,Luft- & Raumfahrt / Defense,USA
"Bye Aerospace, Inc.",byeaerospace.com,Luft- & Raumfahrt / Defense,USA
Lumicity,lumicity.io,Luft- & Raumfahrt / Defense,USA
Frost & Sullivan,frost.com,Luft- & Raumfahrt / Defense,USA
Slingshot Aerospace,slingshot.space,Luft- & Raumfahrt / Defense,USA
Axiom Space,axiomspace.com,Luft- & Raumfahrt / Defense,USA
Industrie du Maroc Magazine  مجلة صناعة المغرب,industries.ma,Luft- & Raumfahrt / Defense,USA
RGBSI,rgbsi.com,Luft- & Raumfahrt / Defense,USA
KPG99 INC,kpg99.com,Luft- & Raumfahrt / Defense,USA
Bigelow Aerospace,bigelowaerospace.com,Luft- & Raumfahrt / Defense,USA
Protingent,protingent.com,Luft- & Raumfahrt / Defense,USA
