company_name,domain
Aernnova Aerospace,aernnova.com
Piaggio Aerospace,piaggioaerospace.it
"TEI - TUSAŞ Engine Industries, Inc.",tei.com.tr
TAAC Aerospace Technologies,taac.com.tr
ONERA - The French Aerospace Lab,onera.fr
ALESTIS AEROSPACE,alestis.aero
DEDIENNE AEROSPACE,dedienne-aero.com
LISI AEROSPACE,lisi-aerospace.com
Sandvik Coromant,coromant.com
Isar Aerospace,isaraerospace.com
Blaser Swisslube,blaser.com
OHB SE,ohb.de
ALTEN Germany,alten-germany.de
MECACHROME Group,mecachrome.com
RUAG,ruag.ch
STELIA Aerospace,stelia-aerospace.com
RENK Group,renk.com
Altran,altran.com
MT Aerospace AG,mt-aerospace.de
GF Machining Solutions,gfms.com
Horváth,horvath-partners.com
Diehl Defence,diehl.com
Schunk Group,schunk-group.com
Seco Tools,secotools.com
Hoffmann Group,hoffmann-group.com
Triumph Group,triumph.com
SGL Carbon,sglcarbon.com
AERO Vodochody AEROSPACE a.s.,aero.cz
Krempel Global,krempel.com
Miba Group,miba.com
Aalberts surface technologies,aalberts-st.com
Nikon SLM Solutions,nikon-slm-solutions.com
Interroll Group,interroll.com
Mitsubishi Chemical Advanced Materials,mcam.com
KNDS Deutschland,knds.de
MAPAL Dr. Kress KG,mapal.com
dSPACE,dspace.com
Maxon,maxongroup.com
GF Casting Solutions,gfcs.com
BUGATTI,bugatti.com
Condor Flugdienst GmbH,condor.com
Xometry Europe,xometry.eu
Komax Taping GmbH & Co. KG,komaxgroup.com
Catenon,catenon.com
GEDORE Group,gedore.com
RECARO Aircraft Seating,recaro-as.com
WINGCOPTER,wingcopter.com
Bosch Engineering GmbH,bosch-engineering.com
DAHER INDUSTRIAL SERVICES GmbH,daher-industrialservices-careers.com
Dormer Pramet,dormerpramet.com
PRETTL group,prettl.com
Waygate Technologies,waygate-tech.com
FEV Europe GmbH,fev.com
Sphinx Worldbiz Limited,sphinxworldbiz.com
SunExpress,sunexpress.com
Saft,saft.com
OBERMEYER Group,obermeyer-group.com
Siemens Advanta,siemens-advanta.com
AMAC Aerospace Switzerland AG,amacaerospace.com
Motherson Aerospace SAS,ad-industries.fr
Castolin Eutectic,castolin.com
Satair,satair.com
VDL Enabling Technologies Group (ETG),vdletg.com
Xometry Türkiye,xometry.com.tr
Clayens NP,clayens.com
CS GROUP,cs-soprasteria.com
