company_name,domain
Bontempi VIBO S.p.A.,vibo.com
OFFICINE VICA S.p.A.,officinevica.com
De Rooy Precision B.V. | De Rooy Slijpcentrum B.V.,rooy.nl
Visottica Group,visotticagroup.com
Gühring Romania,guehring.ro
OMETEC Srl,ometec.it
FAED Group,grupofaed.com
ETANCO Group,etancogroup.com
Schaublin SA,schaublin.ch
Galba,galba.it
SBE VARVIT,sbe-varvit.com
DA-TOR SpA,da-tor.it
lpm.group,lpm.group
3D PRINT,3dprint.fr
CATHELAIN S.A.S.,cathelain.com
Marcopol sp. z o.o.,marcopol.eu
C2MAC Group,c2macgroup.com
Grupodesa,desa.es
CALIP GROUP,calip-group.fr
Affolter Group,affoltergroup.ch
ISCAR Poland,iscar.pl
Costruzioni Novicrom srl,costruzioninovicrom.it
Fundilusa,fundilusa.com
Joseph Martin SAS,martin-joseph.com
VDM - REYA,vdm-reya.com
Multicut A/S,multicut.dk
The New AH Industries,ah-industries.dk
Laser Galicia,lasergalicia.com
Torneria Automatica Alfredo Colombo,torneriacolombo.it
NIMET SRL,nimet.ro
SOPIL,sopil.fr
AS INDUSTRIES,asindus.com
Nordmark,nordmark.as
Fredriksons,fredriksons.se
KP Components,kp-components.com
CHH Microtechnique,chh-microtechnique.ch
Monnin SA,monnin.ch
pgb-Europe,pgb-europe.com
SOMEPIC,somepic-technologie.com
RABOURDIN,rabourdin.fr
Kusters Precision Parts,kustersprecisionparts.nl
FAYMASA,faymasa.com
Febametal S.p.A.,febametal.com
Andra Tech Group,careers-andratechgroup.com
PERROTTON,perrotton.fr
GROUPE REOREV,reorev.fr
CoMeAr,comear-it.com
OEB,oebsrl.it
ISCAR ITALIA SRL,iscaritalia.it
CAPAUL,capaul.be
Delta Neo,deltaneo.com
Torneria Nicoletti S.r.l.,nicoletti.it
GROUPE OTS,groupeots.fr
Stieva Metaal Groep,stievagroep.nl
Alpen'Tech,alpen-tech.com
CAPI GROUP s.r.l.,capigroup.it
KIPPWERK,kippusa.com
CELO Fixings,celofixings.com
NEXAM,nexam.aero
Dutch-Shape,dutch-shape.nl
HPM GROUPE - Haute Précision Mécanique,hpm-groupe.fr
Arcofil SA,arcofil.ch
Rouages SA,rouages.ch
PANELFISA GROUP,panelfisa.com
LA FENICE GLOBAL SERVICE,lafenicegs.com
BOUTTÉ SAS,boutte-decolletage.fr
Del West Europe SA,delwest.ch
Borgh,borgh.com
MEUPE,meupe.com
VARDECO SA,vardeco.com
EPMO 🇫🇷,epmo.fr
Royal Kerckhaert Horseshoe Factory,kerckhaert.com
I.M.G. Spa,imgspa.com
Prodan A/S,prodan.dk
"CMM Laser | Taglio Laser Tubi, Travi e Lamiere",cmmlaser.it
4DHT di Lucio Marcolin,4dht.it
AMETS,ametssl.com
EFCO Fixing Technology Ltd,efco.swiss
Covis Group,covisgroup.it
VILMAR SA,vilmar.ro
eba sp. z o.o.,eba.pl
CURTIL SAS,curtil.com
CONORM,conorm.fr
Pillen Group,pillen.eu
Meccom Industripartner AB,meccom.se
Pernat Emile,pernatindustrie.com
HBP Group,hbp.group
EFFEDUE SRL,effedue.eu
UFAB,ufab.se
"Warszawskie Zakłady Mechaniczne ""PZL-WZM"" w Warszawie S.A.",wuzetem.pl
PROCIDEC & MAGMET,procidec.fr
ANDRE LAURENT SAS,andre-laurent.fr
ÅKERS SWEDEN AB,akerssweden.se
GMP Group,gmp.group
MICRODECO BERRIA,microdeco.com
Linamar Hungary Zrt.,linamar.hu
TRITECH,tritech.dk
"LASER MOLINA, S.L.",lasermolina.com
HDI - Henry Desjonquères Industries,h-d-industries.com
BI-ME,bime.pro
"GRUPO GOMUR. ENGINEERING AND MECHANICAL CONSTRUCTION, INDUSTRIAL ASSEMBLY AND MAINTENANCE.",grupogomur.com
Lann Industries,lannindustries.com
GIDI Meccanica,gidimeccanica.com
Metalians (SFAM - CFT - MDP - AVN),avn-decolletage.com
Leading Metal-Mechanic Solutions,leading.es
Lasergran SL,lasergran.com
