company_name,domain,playbook
Aernnova Aerospace,aernnova.com,Luft- & Raumfahrt / Defense
Piaggio Aerospace,piaggioaerospace.it,Luft- & Raumfahrt / Defense
"TEI - TUSAŞ Engine Industries, Inc.",tei.com.tr,Luft- & Raumfahrt / Defense
TAAC Aerospace Technologies,taac.com.tr,Luft- & Raumfahrt / Defense
ONERA - The French Aerospace Lab,onera.fr,Luft- & Raumfahrt / Defense
ALESTIS AEROSPACE,alestis.aero,Luft- & Raumfahrt / Defense
DEDIENNE AEROSPACE,dedienne-aero.com,Luft- & Raumfahrt / Defense
LISI AEROSPACE,lisi-aerospace.com,Luft- & Raumfahrt / Defense
Sandvik Coromant,coromant.com,Luft- & Raumfahrt / Defense
Isar Aerospace,isaraerospace.com,Luft- & Raumfahrt / Defense
Blaser Swisslube,blaser.com,Luft- & Raumfahrt / Defense
OHB SE,ohb.de,Luft- & Raumfahrt / Defense
ALTEN Germany,alten-germany.de,Luft- & Raumfahrt / Defense
MECACHROME Group,mecachrome.com,Luft- & Raumfahrt / Defense
RUAG,ruag.ch,Luft- & Raumfahrt / Defense
STELIA Aerospace,stelia-aerospace.com,Luft- & Raumfahrt / Defense
RENK Group,renk.com,Luft- & Raumfahrt / Defense
Altran,altran.com,Luft- & Raumfahrt / Defense
MT Aerospace AG,mt-aerospace.de,Luft- & Raumfahrt / Defense
GF Machining Solutions,gfms.com,Luft- & Raumfahrt / Defense
Horváth,horvath-partners.com,Luft- & Raumfahrt / Defense
Diehl Defence,diehl.com,Luft- & Raumfahrt / Defense
Schunk Group,schunk-group.com,Luft- & Raumfahrt / Defense
Seco Tools,secotools.com,Luft- & Raumfahrt / Defense
Hoffmann Group,hoffmann-group.com,Luft- & Raumfahrt / Defense
Triumph Group,triumph.com,Luft- & Raumfahrt / Defense
SGL Carbon,sglcarbon.com,Luft- & Raumfahrt / Defense
AERO Vodochody AEROSPACE a.s.,aero.cz,Luft- & Raumfahrt / Defense
Krempel Global,krempel.com,Luft- & Raumfahrt / Defense
Miba Group,miba.com,Luft- & Raumfahrt / Defense
Aalberts surface technologies,aalberts-st.com,Luft- & Raumfahrt / Defense
Nikon SLM Solutions,nikon-slm-solutions.com,Luft- & Raumfahrt / Defense
Interroll Group,interroll.com,Luft- & Raumfahrt / Defense
Mitsubishi Chemical Advanced Materials,mcam.com,Luft- & Raumfahrt / Defense
KNDS Deutschland,knds.de,Luft- & Raumfahrt / Defense
MAPAL Dr. Kress KG,mapal.com,Luft- & Raumfahrt / Defense
dSPACE,dspace.com,Luft- & Raumfahrt / Defense
Maxon,maxongroup.com,Luft- & Raumfahrt / Defense
GF Casting Solutions,gfcs.com,Luft- & Raumfahrt / Defense
BUGATTI,bugatti.com,Luft- & Raumfahrt / Defense
Condor Flugdienst GmbH,condor.com,Luft- & Raumfahrt / Defense
Xometry Europe,xometry.eu,Luft- & Raumfahrt / Defense
Komax Taping GmbH & Co. KG,komaxgroup.com,Luft- & Raumfahrt / Defense
Catenon,catenon.com,Luft- & Raumfahrt / Defense
GEDORE Group,gedore.com,Luft- & Raumfahrt / Defense
RECARO Aircraft Seating,recaro-as.com,Luft- & Raumfahrt / Defense
WINGCOPTER,wingcopter.com,Luft- & Raumfahrt / Defense
Bosch Engineering GmbH,bosch-engineering.com,Luft- & Raumfahrt / Defense
DAHER INDUSTRIAL SERVICES GmbH,daher-industrialservices-careers.com,Luft- & Raumfahrt / Defense
Dormer Pramet,dormerpramet.com,Luft- & Raumfahrt / Defense
PRETTL group,prettl.com,Luft- & Raumfahrt / Defense
Waygate Technologies,waygate-tech.com,Luft- & Raumfahrt / Defense
FEV Europe GmbH,fev.com,Luft- & Raumfahrt / Defense
Sphinx Worldbiz Limited,sphinxworldbiz.com,Luft- & Raumfahrt / Defense
SunExpress,sunexpress.com,Luft- & Raumfahrt / Defense
Saft,saft.com,Luft- & Raumfahrt / Defense
OBERMEYER Group,obermeyer-group.com,Luft- & Raumfahrt / Defense
Siemens Advanta,siemens-advanta.com,Luft- & Raumfahrt / Defense
AMAC Aerospace Switzerland AG,amacaerospace.com,Luft- & Raumfahrt / Defense
Motherson Aerospace SAS,ad-industries.fr,Luft- & Raumfahrt / Defense
Castolin Eutectic,castolin.com,Luft- & Raumfahrt / Defense
Satair,satair.com,Luft- & Raumfahrt / Defense
VDL Enabling Technologies Group (ETG),vdletg.com,Luft- & Raumfahrt / Defense
Xometry Türkiye,xometry.com.tr,Luft- & Raumfahrt / Defense
Clayens NP,clayens.com,Luft- & Raumfahrt / Defense
CS GROUP,cs-soprasteria.com,Luft- & Raumfahrt / Defense
Elbe Flugzeugwerke GmbH,elbeflugzeugwerke.com,Luft- & Raumfahrt / Defense
FAULHABER Drive Systems,faulhaber.com,Luft- & Raumfahrt / Defense
"Testia, an Airbus Company",testia.com,Luft- & Raumfahrt / Defense
Flyability,flyability.com,Luft- & Raumfahrt / Defense
Starrag,starrag.com,Luft- & Raumfahrt / Defense
DQS,dqsglobal.com,Luft- & Raumfahrt / Defense
Broetje Automation GmbH,broetje-automation.de,Luft- & Raumfahrt / Defense
CIMPA PLM Services,cimpa.com,Luft- & Raumfahrt / Defense
WITTENSTEIN group,wittenstein-group.com,Luft- & Raumfahrt / Defense
Zimmer Group,zimmer-group.com,Luft- & Raumfahrt / Defense
InnoEnergy,volocopter.com,Luft- & Raumfahrt / Defense
PI (Physik Instrumente) Group,physikinstrumente.com,Luft- & Raumfahrt / Defense
Materna,materna.de,Luft- & Raumfahrt / Defense
TP Aerospace,tpaerospace.com,Luft- & Raumfahrt / Defense
TURALI GROUP,turaligroup.com,Luft- & Raumfahrt / Defense
"TTI, Inc. - Europe",ttieurope.com,Luft- & Raumfahrt / Defense
Fraunhofer Institute for Production Technology IPT,ipt.fraunhofer.de,Luft- & Raumfahrt / Defense
Gurit,gurit.com,Luft- & Raumfahrt / Defense
Reel,reelinternational.com,Luft- & Raumfahrt / Defense
BDO Advisory SAS,restoreyourairplane.com,Luft- & Raumfahrt / Defense
Mecanic Sud Industrie (Groupe Rochette Industrie),rochetteindustrie.com,Luft- & Raumfahrt / Defense
ASB Aerospatiale Batteries,asb-group.com,Luft- & Raumfahrt / Defense
Tecnavan - Tecnologie Avanzate s.r.l.,tecnavan.it,Luft- & Raumfahrt / Defense
F-TECH,f-techaerospace.com,Luft- & Raumfahrt / Defense
REFISA S.L.,refisa.com,Luft- & Raumfahrt / Defense
RED | Rocket Experiment Division,aerotec.pt,Luft- & Raumfahrt / Defense
Wojskowy Instytut Techniczny Uzbrojenia,witu.mil.pl,Luft- & Raumfahrt / Defense
FOMAP,fomap.it,Luft- & Raumfahrt / Defense
RG TECH,rgtech.it,Luft- & Raumfahrt / Defense
ACSL,acslworld.com,Luft- & Raumfahrt / Defense
CAPS,bycaps.fr,Luft- & Raumfahrt / Defense
"Vojenský technický ústav, s.p.",vtusp.cz,Luft- & Raumfahrt / Defense
"Wytwórnia Sprzętu Komunikacyjnego ""PZL-KALISZ"" S.A.",wsk.kalisz.pl,Luft- & Raumfahrt / Defense
DIANA,teamdiana.it,Luft- & Raumfahrt / Defense
InfraVision,infravision.com,Luft- & Raumfahrt / Defense
ASAM SA,asam.ro,Luft- & Raumfahrt / Defense
EINSA,einsa.com,Luft- & Raumfahrt / Defense
H2020-IMOTHEP,imothep-project.eu,Luft- & Raumfahrt / Defense
Emax,emax-usa.com,Luft- & Raumfahrt / Defense
Drone4Agro,drone4agro.nl,Luft- & Raumfahrt / Defense
IAR SA,iar.ro,Luft- & Raumfahrt / Defense
Aeromaritime Systembau GmbH,aeromaritime.eu,Luft- & Raumfahrt / Defense
Technicom,technicom-sa.fr,Luft- & Raumfahrt / Defense
TITAN AERO GROUP,titan-aero-group.com,Luft- & Raumfahrt / Defense
MONTEC,montec.fr,Luft- & Raumfahrt / Defense
IWAMET,iwamet.com,Luft- & Raumfahrt / Defense
DTK,dtkintana.com,Luft- & Raumfahrt / Defense
Coaéro,coaero.fr,Luft- & Raumfahrt / Defense
AUNDE Portugal,aunde.pt,Luft- & Raumfahrt / Defense
DUNCHA FRANCE SAS,duncha-france.com,Luft- & Raumfahrt / Defense
"Kawasaki Heavy Industries, LTD",khi.co.jp,Luft- & Raumfahrt / Defense
MVVS,mvvs.cz,Luft- & Raumfahrt / Defense
Siem srl,siemsrl.org,Luft- & Raumfahrt / Defense
DEEP PPU,deepppu.eu,Luft- & Raumfahrt / Defense
Metal Competencies,metal-competencies.com,Luft- & Raumfahrt / Defense
Sip,sip-aircraft.com,Luft- & Raumfahrt / Defense
Groupe Auvergne Aéronautique,auvergneaero.com,Luft- & Raumfahrt / Defense
