company_name,domain
B&R Industrial Automation,br-automation.com
Agile Robots SE,agile-robots.com
Franka Robotics,franka.de
ANYbotics,anybotics.com
PAL Robotics,pal-robotics.com
ARX Robotics,arx-robotics.com
Brainlab,brainlab.com
Mech-Mind Robotics,mech-mind.com
OHB SE,ohb.de
Gravis Robotics,gravisrobotics.com
Kardex,kardex.com
Medartis,medartis.com
TGW Logistics,tgw-group.com
Fraunhofer-Gesellschaft,fraunhofer.de
Universal Robots,universal-robots.com
Lenze,lenze.com
SKAN,skan.com
Körber Technologies,koerber-technologies.com
stow Group,stow-group.com
MECACHROME Group,mecachrome.com
Exotec,exotec.com
Magazino – a Jungheinrich company,magazino.eu
GF Machining Solutions,gfms.com
igus GmbH,igus.com
Maxon,maxongroup.com
TMC,tmcaz.com
Apleona Group,apleona.com
thyssenkrupp Automation Engineering,thyssenkrupp-automation-engineering.com
HENN,henn.com
Valmet Automotive,valmet-automotive.com
Schmalz,schmalz.com
Pilz,pilz.com
Sphinx Worldbiz Limited,sphinxworldbiz.com
KNDS Deutschland,knds.de
IMA AUTOMATION,imautomation.com
Murrelektronik,murrelektronik.com
arculus – a Jungheinrich company,arculus.de
Picus Capital,picuscap.com
Salvagnini,salvagninigroup.com
Gebauer & Griller,gg-group.com
Bosch Engineering GmbH,bosch-engineering.com
Carraro Group,carraro.com
PRAMAC,pramac.com
Technische Universität Darmstadt,tu-darmstadt.de
Xometry Europe,xometry.eu
Mobile Industrial Robots,mobile-industrial-robots.com
WITTMANN Group,wittmann-group.com
FAULHABER Drive Systems,faulhaber.com
Spineart,spineart.com
Scm Group,scmgroup.com
Bosch Manufacturing Solutions | BMG,boschmanufacturingsolutions.com
AMAZONEN-WERKE H. DREYER SE & Co. KG,amazone.net
Marchesini Group S.p.A.,marchesini.com
JENSEN-GROUP,jensen-group.com
UnternehmerTUM,unternehmertum.de
Medacta International,medacta.com
SPINNER Werkzeugmaschinenfabrik GmbH,spinner.eu.com
VITRONIC Machine Vision,vitronic.com
GRIMME,grimme.com
Basler AG,baslerweb.com
SEW-EURODRIVE India Private Limited,seweurodriveindia.com
Circus Group,circus-group.com
Sepro Group,sepro-group.com
Zimmer Group,zimmer-group.com
Toyota Motor Europe,toyota-europe.com
Lely,lely.com
KEB Automation,keb-automation.com
E80 Group,e80group.com
HELUKABEL GmbH,helukabel.us
Broetje Automation GmbH,broetje-automation.de
SDF,sdfgroup.com
Foxconn Czech Republic,foxconn.cz
Kendrion,kendrion.com
Zucchetti,zucchettidesign.it
Bosch Switzerland,bosch.ch
Technology & Strategy,technologyandstrategy.com
Güdel Group,gudel.com
GF Casting Solutions,gfcs.com
Flyability,flyability.com
Stanley Robotics,stanley-robotics.com
EMCO Corporation,emco-world.com
Tecan,tecan.com
VDL Enabling Technologies Group (ETG),vdletg.com
eCential Robotics,ecential-robotics.com
BlueBotics,bluebotics.com
