company_name,domain
A + B Umweltservice,abumwelt.de
Aalborg Forsyning,aalborgforsyning.dk
ABAS Miljøservice,abas.dk
Abfall-Service Osterholz GmbH,aso-ohz.de
Abfallentsorgungs- und Stadtreinigungsbetrieb der Stadt Chemnitz (ASR),asr-chemnitz.de
Abfallwirtschaft,abfallwirtschaft.landkreis-harburg.de
Abfallwirtschaft GmbH Halle - Lochau,aw-halle.de
Abfallwirtschaft Heidekreis AHK,ahk-heidekreis.de
Abfallwirtschaft Hohenlohekreis,abfallwirtschaft-hohenlohekreis.de
Abfallwirtschaft Lahn-Fulda,a-lf.de
Abfallwirtschaft Landkreis Fulda,abfallwirtschaft-landkreis-fulda.de
Abfallwirtschaft Nordharz GmbH,abfallwirtschaft-nordharz-gmbh.de
Abfallwirtschaft Rems-Murr,abfallwirtschaft-rems-murr.de
Abfallwirtschaft Schleswig-Flensburg,asf-online.de
Abfallwirtschaft Stuttgart Aws,ans-ev.de
Abfallwirtschaft Tirol Mitte Gmbh,atm-online.at
Abfallwirtschaft Torgau-Oschatz GmbH,ato-online.de
Abfallwirtschaft und Stadtreinigung Freiburg GmbH,abfallwirtschaft-freiburg.de
Abfallwirtschaft Vechta,abfallwirtschaft-vechta.de
Abfallwirtschaft Wetteraukreis,awb-wetterau.de
Abfallwirtschaftsbetrieb Kiel (ABK),abki.de
Abfallwirtschaftsbetrieb Landkreis Altenkirchen,awb-ak.de
Abfallwirtschaftsbetrieb Landkreis Pfaffenhofen,awp-paf.de
Abfallwirtschaftsbetrieb Landkreis Wolfenbüttel,alw-wf.de
Abfallwirtschaftsbetrieb München,awm-muenchen.de
Abfallwirtschaftsbetrieb Stadt Nürnberg,asn.nuernberg.de
Abfallwirtschaftsbetrieb Unstrut-Hainich-Kreis,abfallwirtschaft-uhk.de
Abfallwirtschaftsbetriebe Köln GmbH (AWB Köln),awbkoeln.de
AbfallWirtschaftsGesellschaft mbH Bassum,awg-bassum.de
Abfallzweckverband Rhein-Mosel-Eifel,dzv-eiterkoepfe.de
Abfallzweckverband Stadt und Landkreis Hof,azv-hof.de
Abfallzweckverband Südniedersachsen,as-nds.de
ADG Abfallwirtschaft Delmenhorst GmbH,adg-del.de
AEU Abfall-Entsorgung Ulm GmbH & Co. KG,abfall-entsorgung-ulm.de
AffaldPlus,affaldplus.dk
AFFALDSHELTEN ApS,affaldshelten.dk
Agder Renovasjon,agderrenovasjon.no
AGR Abfallentsorgungs-Gesellschaft Ruhrgebiet mbH,agr.de
aha - Zweckverband Abfallwirtschaft Region Hannover,aha-region.de
ALFA Specialaffald,alfa.dk
Alles Miljø AS,alles.no
Allmiljö AB,allmiljo.se
Alvesta kommun,alvesta.se
Alytaus regiono atliekų tvarkymo centras,aratc.lt
Anhalt-Bitterfelder Kreiswerke,abikw.de
