company_name,domain,playbook
Aalborg Portland A/S,aalborgportland.dk,"Cement, Energy & RDF Off-takers"
AALBORG WHITE®,aalborgwhite.com,"Cement, Energy & RDF Off-takers"
AB Akmenės cementas,cementas.lt,"Cement, Energy & RDF Off-takers"
Abfallwirtschaft,abfallwirtschaft.landkreis-harburg.de,"Cement, Energy & RDF Off-takers"
Abfallwirtschaft des Landkreises Rhön-Grabfeld,abfall-scout.de,"Cement, Energy & RDF Off-takers"
Abfallwirtschaft GmbH Halle - Lochau,aw-halle.de,"Cement, Energy & RDF Off-takers"
Abfallwirtschaft Heidekreis AHK,ahk-heidekreis.de,"Cement, Energy & RDF Off-takers"
Abfallwirtschaft Hohenlohekreis,abfallwirtschaft-hohenlohekreis.de,"Cement, Energy & RDF Off-takers"
Abfallwirtschaft Lahn-Fulda,a-lf.de,"Cement, Energy & RDF Off-takers"
Abfallwirtschaft Landkreis Fulda,abfallwirtschaft-landkreis-fulda.de,"Cement, Energy & RDF Off-takers"
Abfallwirtschaft Nordharz GmbH,abfallwirtschaft-nordharz-gmbh.de,"Cement, Energy & RDF Off-takers"
Abfallwirtschaft Rems-Murr,abfallwirtschaft-rems-murr.de,"Cement, Energy & RDF Off-takers"
Abfallwirtschaft Stuttgart Aws,ans-ev.de,"Cement, Energy & RDF Off-takers"
Abfallwirtschaft Tirol Mitte Gmbh,atm-online.at,"Cement, Energy & RDF Off-takers"
Abfallwirtschaft Torgau-Oschatz GmbH,ato-online.de,"Cement, Energy & RDF Off-takers"
Abfallwirtschaft und Stadtreinigung Freiburg GmbH,abfallwirtschaft-freiburg.de,"Cement, Energy & RDF Off-takers"
Abfallwirtschaft Vechta,abfallwirtschaft-vechta.de,"Cement, Energy & RDF Off-takers"
Abfallwirtschaft Wetteraukreis,awb-wetterau.de,"Cement, Energy & RDF Off-takers"
Abfallwirtschaftsbetrieb München,awm-muenchen.de,"Cement, Energy & RDF Off-takers"
Abfallwirtschaftsbetriebe Köln GmbH (AWB Köln),awbkoeln.de,"Cement, Energy & RDF Off-takers"
AbfallWirtschaftsGesellschaft mbH Bassum,awg-bassum.de,"Cement, Energy & RDF Off-takers"
ADG Abfallwirtschaft Delmenhorst GmbH,adg-del.de,"Cement, Energy & RDF Off-takers"
AEW Energie AG,aew.ch,"Cement, Energy & RDF Off-takers"
AffaldPlus,affaldplus.dk,"Cement, Energy & RDF Off-takers"
Affaldvarme Aarhus,affaldvarme.dk,"Cement, Energy & RDF Off-takers"
AGR Abfallentsorgungs-Gesellschaft Ruhrgebiet mbH,agr.de,"Cement, Energy & RDF Off-takers"
aha - Zweckverband Abfallwirtschaft Region Hannover,aha-region.de,"Cement, Energy & RDF Off-takers"
ALBA,alba.info,"Cement, Energy & RDF Off-takers"
Alpacem,alpacem.com,"Cement, Energy & RDF Off-takers"
Alpacem Austria,alpacem.at,"Cement, Energy & RDF Off-takers"
Alpacem Slovenija,alpacem.si,"Cement, Energy & RDF Off-takers"
APM Abfallwirtschaft Potsdam-Mittelmark GmbH,apm-niemegk.de,"Cement, Energy & RDF Off-takers"
ARC - Amager Resource Centre,a-r-c.dk,"Cement, Energy & RDF Off-takers"
ARGO,argo.dk,"Cement, Energy & RDF Off-takers"
Auer Abfallwirtschaft,auer-abfallwirtschaft.at,"Cement, Energy & RDF Off-takers"
AUREC Gesellschaft für Abfallverwertung und Recycling mbH,aurec.de,"Cement, Energy & RDF Off-takers"
AVE Abfallwirtschaft GmbH,avede.de,"Cement, Energy & RDF Off-takers"
AW SAS | Abfallwirtschaft Sachsen-Anhalt Süd AöR,awsas.de,"Cement, Energy & RDF Off-takers"
AWG Abfallwirtschaft Landkreis Calw GmbH,awg-info.de,"Cement, Energy & RDF Off-takers"
AWIGO Abfallwirtschaft Landkreis Osnabrück GmbH,awigo.de,"Cement, Energy & RDF Off-takers"
AWISTA Gesellschaft für Abfallwirtschaft und Stadtreinigung mbH,awista.de,"Cement, Energy & RDF Off-takers"
awm Abfallwirtschaftsbetriebe Münster,awm.stadt-muenster.de,"Cement, Energy & RDF Off-takers"
AWR Abfallwirtschaft Rendsburg-Eckernförde GmbH,awr.de,"Cement, Energy & RDF Off-takers"
AWSH Abfallwirtschaft Südholstein GmbH,awsh.de,"Cement, Energy & RDF Off-takers"
B+T Group,bt-umwelt.de,"Cement, Energy & RDF Off-takers"
Belarusian Cement Plant,belcement.by,"Cement, Energy & RDF Off-takers"
Bellersheim Abfallwirtschaft GmbH,bellersheim.de,"Cement, Energy & RDF Off-takers"
Betrieb Abfallwirtschaft Nienburg/Weser,bawn.de,"Cement, Energy & RDF Off-takers"
BEW Berliner Energie und Wärme GmbH,bew.berlin,"Cement, Energy & RDF Off-takers"
BIOTERA član skupine VEOLIA,veolia.si,"Cement, Energy & RDF Off-takers"
BIR,bir.no,"Cement, Energy & RDF Off-takers"
Calmit Holding GmbH,calmit.com,"Cement, Energy & RDF Off-takers"
Calucem,calucem.com,"Cement, Energy & RDF Off-takers"
Carmeuse,carmeuse.com,"Cement, Energy & RDF Off-takers"
"Cement Hranice, akciová společnost",cement.cz,"Cement, Energy & RDF Off-takers"
Cement Ożarów S.A.,ozarow.com.pl,"Cement, Energy & RDF Off-takers"
Cementownia ODRA S.A.,odrasa.com.pl,"Cement, Energy & RDF Off-takers"
Cementownia Warta S.A.,wartasa.com.pl,"Cement, Energy & RDF Off-takers"
"CEMMAC, a. s.",cemmac.sk,"Cement, Energy & RDF Off-takers"
Danucem,danucem.com,"Cement, Energy & RDF Off-takers"
