company_name,domain
Romcim a CRH Company,romcim.ro
Rohrdorfer,rohrdorfer.eu
Dyckerhoff Polska,dyckerhoff.pl
maxit gruppe,maxit.de
VEOLIA CZECH REPUBLIC,veolia.cz
SAKO Brno a.s.,sako.cz
Port Czystej Energii,portczystejenergii.pl
Dobra Energia Dla Olsztyna,energiaolsztyn.pl
Danucem,danucem.com
OLO - Odvoz a likvidácia odpadu,olo.sk
Abfallwirtschaft Wetteraukreis,awb-wetterau.de
Eko Toplane Banja Luka,ekotoplanebanjaluka.com
Abfallwirtschaftsbetrieb München,awm-muenchen.de
Abfallwirtschaftsbetriebe Köln GmbH (AWB Köln),awbkoeln.de
AGR Abfallentsorgungs-Gesellschaft Ruhrgebiet mbH,agr.de
Veolia Deutschland,veolia.de
REMONDIS Industrie Service,remondis-industrie-service.de
ALBA,alba.info
Nehlsen AG,nehlsen.com
B+T Group,bt-umwelt.de
Stadtwerke Halle GmbH,swh.de
"REMONDIS GmbH & Co. KG, Region Nord",remondis-entsorgung.de
Stadtwerke Rosenheim GmbH & Co. KG,swro.de
Stadtwerke Erfurt Gruppe,stadtwerke-erfurt.de
REMONDIS Industrie Service,remondis.de
EEW Energy from Waste GmbH,eew-energyfromwaste.com
Remondis International GmbH,remondis.com
GML – Gemeinschafts-Müllheizkraftwerk Ludwigshafen GmbH,gml-ludwigshafen.de
EGK Entsorgungsgesellschaft Krefeld GmbH & Co. KG,egk.de
AWSH Abfallwirtschaft Südholstein GmbH,awsh.de
AUREC Gesellschaft für Abfallverwertung und Recycling mbH,aurec.de
Ragn-Sells AS,ragnsells.no
Stadtwerke Ludwigsburg-Kornwestheim GmbH,swlb.de
RETERRA Service GmbH,reterra.de
Lukavac Cement d.o.o.,lukavaccement.ba
Aalborg Portland A/S,aalborgportland.dk
Duna-Dráva Cement Kft.,duna-drava.hu
AALBORG WHITE®,aalborgwhite.com
Titan Usje,usje.mk
Kirchdorfer Group,kirchdorfer.at
Dyckerhoff,dyckerhoff.com
Interzero Hrvatska,interzero.hr
Moravacem a CRH company,moravacem.rs
Veolia | България,veolia.bg
REMONDIS Recycling,remondis-recycling.de
Miejskie Przedsiębiorstwo Energetyki Cieplnej - Konin Sp. z o.o.,mpec.konin.pl
STADTWERKE KELHEIM GmbH & Co KG,stadtwerke-kelheim.de
FORTE Energie GmbH & Co.KG,forte-energie.de
MVV Energie AG,mvv.de
Stadtwerke Düsseldorf,swd-ag.de
AWIGO Abfallwirtschaft Landkreis Osnabrück GmbH,awigo.de
awm Abfallwirtschaftsbetriebe Münster,awm.stadt-muenster.de
Belarusian Cement Plant,belcement.by
Hessler Kalkwerke GmbH,hessler-kalkwerk.de
SWN Stadtwerke Neumünster,stadtwerke-neumuenster.de
Dortmunder Energie- und Wasserversorgung GmbH (DEW21),dew21.de
Nordkalk Corporation,nordkalk.com
KALK A/S,kalk.dk
Målarkalk AB,malarkalk.se
InterCal Group,intercal.org
Polcalc Nawozy Wapniowe,polcalc.pl
Calmit Holding GmbH,calmit.com
Kalkfabrik Netstal AG,kfn.ch
Spenner GmbH & Co. KG,spenner-gruppe.de
Loacker Recycling GmbH,loacker-recycling.com
FCC Environment CEE,fcc-group.eu
ZAK - Zentrale Abfallwirtschaft Kaiserslautern AöR,zak-kl.de
Abfallwirtschaft und Stadtreinigung Freiburg GmbH,abfallwirtschaft-freiburg.de
REMONDIS Niederrhein GmbH,remondis-niederrhein.de
Märker Gruppe,maerker-gruppe.de
Soceram,soceram.ro
Marius Pedersen A/S,mariuspedersen.dk
REMONDIS A/S,remondisdanmark.dk
ARGO,argo.dk
Frederikshavn Forsyning,forsyningen.dk
AffaldPlus,affaldplus.dk
Ragn-Sells Danmark A/S,ragnsells.dk
REFA,refa.dk
kenova AG,kenova.ch
Paprec Schweiz,paprec.ch
ZAB - Zweckverband Abfallverwertung Bazenheid,zab.ch
GEKAL-KVA Buchs,kva-buchs.ch
REMONDIS Recycling AG,remondis-recycling.ch
GEVAG,gevag.ch
Waste to energy,zokaenergysolution.com
Vestforbrænding,vestfor.dk
Veolia | Polska,veolia.pl
Stockholm Exergi,stockholmexergi.se
GEMINOR,geminor.no
KVA Linth,kva-linth.ch
Interzero Polska,interzero.pl
Kalkwerke Otto Breckweg GmbH & CO.KG,breckweg.de
Kongerslev Kalk A/S,kongerslev-kalk.dk
REMONDIS Sverige,remondisrecycling.se
