company_name,domain
A + B Umweltservice,abumwelt.de
Aalborg Forsyning,aalborgforsyning.dk
ABAS Miljøservice,abas.dk
Abfall-Service Osterholz GmbH,aso-ohz.de
Abfallentsorgungs- und Stadtreinigungsbetrieb der Stadt Chemnitz (ASR),asr-chemnitz.de
Abfallwirtschaft,abfallwirtschaft.landkreis-harburg.de
Abfallwirtschaft GmbH Halle - Lochau,aw-halle.de
Abfallwirtschaft Heidekreis AHK,ahk-heidekreis.de
Abfallwirtschaft Hohenlohekreis,abfallwirtschaft-hohenlohekreis.de
Abfallwirtschaft Lahn-Fulda,a-lf.de
Abfallwirtschaft Landkreis Fulda,abfallwirtschaft-landkreis-fulda.de
Abfallwirtschaft Nordharz GmbH,abfallwirtschaft-nordharz-gmbh.de
Abfallwirtschaft Rems-Murr,abfallwirtschaft-rems-murr.de
Abfallwirtschaft Schleswig-Flensburg,asf-online.de
Abfallwirtschaft Stuttgart Aws,ans-ev.de
Abfallwirtschaft Tirol Mitte Gmbh,atm-online.at
Abfallwirtschaft Torgau-Oschatz GmbH,ato-online.de
Abfallwirtschaft und Stadtreinigung Freiburg GmbH,abfallwirtschaft-freiburg.de
Abfallwirtschaft Vechta,abfallwirtschaft-vechta.de
Abfallwirtschaft Wetteraukreis,awb-wetterau.de
Abfallwirtschaftsbetrieb München,awm-muenchen.de
Abfallwirtschaftsbetriebe Köln GmbH (AWB Köln),awbkoeln.de
AbfallWirtschaftsGesellschaft mbH Bassum,awg-bassum.de
ADG Abfallwirtschaft Delmenhorst GmbH,adg-del.de
AEU Abfall-Entsorgung Ulm GmbH & Co. KG,abfall-entsorgung-ulm.de
AffaldPlus,affaldplus.dk
AFFALDSHELTEN ApS,affaldshelten.dk
Agder Renovasjon,agderrenovasjon.no
AGR Abfallentsorgungs-Gesellschaft Ruhrgebiet mbH,agr.de
aha - Zweckverband Abfallwirtschaft Region Hannover,aha-region.de
ALFA Specialaffald,alfa.dk
Alles Miljø AS,alles.no
Allmiljö AB,allmiljo.se
Alvesta kommun,alvesta.se
Anton Saxer AG Abfall-Translogistik,antonsaxer.ch
APM Abfallwirtschaft Potsdam-Mittelmark GmbH,apm-niemegk.de
ARGE Österreichischer Abfallwirtschaftsverbände,argeawv.at
Arnkværn miljø og renovasjon AS,arnkvaern.no
Assens Forsyning A/S,assensforsyning.dk
Auer Abfallwirtschaft,auer-abfallwirtschaft.at
AUREC Gesellschaft für Abfallverwertung und Recycling mbH,aurec.de
AVE Abfallwirtschaft GmbH,avede.de
AVE CZ odpadové hospodářství s.r.o.,ave.cz
AVESTA VATTEN OCH AVFALL AB,avestavatten.se
Avfall & Återvinning Skaraborg,avfallskaraborg.se
Avfall Sverige,avfallsverige.se
Avfall Sør,avfallsor.no
Avfallskonsulten,avfallskonsulten.se
Avfallssekk AS,avfallsekk.no
