company_name,domain
ALBA,alba.info
RECUP,recup.de
TSR Group GmbH & Co. KG,tsr.eu
Berliner Stadtreinigung,bsr.de
EEW Energy from Waste GmbH,eew-energyfromwaste.com
Hensel Recycling,hensel-recycling.com
K+S Group,kpluss.com
igus GmbH,igus.eu
Melitta Group,melitta-group.com
Deutsche Recycling,deutsche-recycling.de
Stadtreinigung Hamburg,stadtreinigung.hamburg
Storopack,storopack.us
Landbell Group,landbell-group.com
Pöppelmann GmbH & Co. KG,poeppelmann.com
OQEMA Group,oqema.com
Alnatura,alnatura.de
KME,kme.com
Matthäi Bauunternehmen GmbH & Co. KG,matthaei.de
OTTO DÖRNER Gruppe,doerner.de
Nehlsen AG,nehlsen.com
Wieland Group,wieland.com
everwave,everwave.de
WICONA,wicona.com
CRONIMET,cronimet.de
Berlin Recycling,berlin-recycling.de
PACCOR,paccor.com
TOI TOI & DIXI Group GmbH,toitoidixi.de
RICOH Germany,ricoh.de
Reclay,reclay-group.com
WEPA,wepa.eu
Westfalen AG,westfalen.com
SÜDPACK Group,suedpack.com
Vytal Global GmbH,vytal.org
BTA International,bta-international.deen
WTA UNISOL GmbH,wta-unisol.com
ITAD e.V. - Interessengemeinschaft der Thermischen Abfallbehandlungsanlagen in Deutschland e.V.,itad.de
WBO Wirtschaftsbetriebe Oberhausen GmbH,wbo-online.de
GML – Gemeinschafts-Müllheizkraftwerk Ludwigshafen GmbH,gml-ludwigshafen.de
Karle Recycling GmbH,karlerecycling.de
Ependys Marivers GmbH,ependys-marivers.com
BIOLOGIC GmbH & Co. KG,biologic.de
MVR Müllverwertung Rugenberger Damm GmbH,mvr-hh.de
EVI Abfallverwertung B.V. & Co. KG,evi-europark.de
Weisgerber Umweltservice GmbH,weisgerber-umweltservice.de
RMG ROHSTOFFMANAGEMENT GMBH,rmg-gmbh.de
Panse Wetzlar Entsorgung GmbH,panse.de
Schmidt + Kampshoff GmbH,schmidtentsorgung.de
DIALLD BIO ENERGY HOLDING,dialld.com
Green Hydrogen Technology,green-ht.eu
WABIO Technology,wabio.de
FLEXI-GREEN FUELS,flexigreenfuels.eu
BIO ENERGY HOLDING,bioenergyholding.net
MAD Recycling GmbH,mad-recycling.com
EGM Entsorgungsgesellschaft Mainz mbH,mhkw-mainz.de
Reiling Group,reiling.de
Bischof+Klein,bischof-klein.com
Progroup AG,progroup.ag
Lobbe,lobbe.de
POLIFILM,polifilm.com
RIGK GmbH,rigk.de
Hagedorn Unternehmensgruppe,unternehmensgruppe-hagedorn.de
Currenta,currenta.de
HDB Recycling GmbH,hdb-recycling.de
SIMONA Group,simona.de
Fr. Meyer's Sohn | FMS,fms-logistics.com
PDR Recycling GmbH + Co KG,pdr.de
Sympatex,sympatex.com
EIT RawMaterials,eitrawmaterials.eu
REDUX Recycling GmbH,redux-recycling.com
GreenCycle,greencycle.de
WILDPLASTIC®,wildplastic.com
H.C. Starck Tungsten Powders,hcstarck.com
Fritz Winter GmbH u. Co. KG,fritzwinter.de
ZECH Umwelt,zech-umwelt.com
MTM Ruhrzinn GmbH,ruhrzinn.com
MAIREC Edelmetallgesellschaft mbH,mairec.com
ACCUREC-Recycling GmbH,accurec.de
Wigger Fenster + Fassaden GmbH,wigger.de
Wiegand-Glas Unternehmensgruppe,wiegand-glas.de
SPALECK GmbH & Co. KG,spaleck.de
matterr,matterr.de
Becker Umweltdienste GmbH,becker-umweltdienste.de
Koehler Paper,koehlerpaper.com
ELG | Aperam Recycling,elgmetals.com
cylib,cylib.de
Mitsubishi Polyester Film,m-petfilm.com
BellandVision GmbH,bellandvision.de
IVY OAK GmbH,ivyoak.com
TUBEX,tubex.de
Meyer & Meyer,meyermeyer.com
CleanHub,cleanhub.com
Schwarz Gruppe,gruppe.schwarz
Biofabrik Technologies GmbH,biofabrik.com
Leipfinger-Bader,leipfinger-bader.de
Vogt-Plastic GmbH,vogt-plastic.de
GLENCORE Nordenham,glencore-nordenham.de
Heraeus Precious Metals,heraeus-precious-metals.com
LEIPA Group,leipa.com
FUCHS Europoles,fuchs-europoles.de
KTPconTeyor,ktpconteyor.com
DIE PAPIERINDUSTRIE e. V.,papierindustrie.de
Meyer Seals Group®-The SEALutions company®,meyer-seals.com
Lyreco Deutschland,lyreco.com
TER Plastics POLYMER GROUP,terplastics.com
NOVENTIZ GmbH,noventiz.de
Der Grüne Punkt – Duales System Deutschland GmbH,gruener-punkt.de
SARIA Germany,saria-karriere.de
Vector Foiltec,lightspanetfe.com
Murtfeldt Kunststoffe,murtfeldt.de
Hüttenwerke Krupp Mannesmann GmbH,hkm.de
Saarstahl AG,saarstahl.com
FSB Franz Schneider Brakel,fsb-shop.de
ScrapBees GmbH,schrottbienen.de
Schrott- und Metallhandel M. Kaatsch GmbH,kaatsch.de
FRANK GmbH,frank-gmbh.de
Rhenus Home Delivery,rhenusmydelivery.com
Profol Europe,profol.de
Augustin Entsorgung,augustin-entsorgung.de
Heimerle + Meule GmbH,heimerle-meule.com
Jakob Becker GmbH & Co. KG,jakob-becker.de
terra Infrastructure,terra-infrastructure.com
B+T Group,bt-umwelt.de
Papier- und Kartonfabrik Varel,pkvarel.com
WERIT Kunststoffwerke W. Schneider GmbH & Co. KG,werit.eu
BIKAR METALS,bikar.com
EGN Entsorgungsgesellschaft Niederrhein mbH,entsorgung-niederrhein.de
mobilezone Deutschland,mobilezone.org
REKS GmbH & Co. KG,reks.de
revomet - a CRONIMET company,revomet.com
Alsco Berufskleidungs-Service GmbH,alsco.de
DODUCO Group,doduco.net
TechProtect GmbH,techprotect.de
TA Triumph-Adler GmbH,triumph-adler.com
CRONIMET Envirotec GmbH,cronimet-envirotec.com
EGGERS-Gruppe,eggers-gruppe.de
Schwalbe - Ralf Bohle GmbH,schwalbe.com
Denns BioMarkt,biomarkt.de
Microvast GmbH (EMEA),microvast.com
Gemeinsames Rücknahmesystem Servicegesellschaft mbH,grs-pro.de
WIKUS Sägenfabrik GmbH & Co. KG,wikus.de
Boomerang,boomerangpack.eu
RAAN Corporate Group,raan-group.com
Peiner Carrier GmbH,peiner-traeger.de
Feinhütte Halsbrücke GmbH,feinhuette.de
NIRONIT Edelstahl GmbH & Co KG,nironit.de
Wittmann Entsorgungswirtschaft GmbH,wittmann.de
SPIES Packaging,spies-packaging.com
TANIOBIS GmbH (Tantalum Niobium Innovative Solutions),taniobis.com
Allguth GmbH,allguth.de
Steinbeis Papier GmbH,steinbeis-papier.de
saperatec,saperatec.de
InfraServ GmbH & Co. Gendorf KG,gendorf.de
SANHA® Group,sanha.com
Exolon Group,exolongroup.com
PARTSLIFE,partslife.com
Nickelhütte Aue GmbH,jacobmetal.group
RETERRA Service GmbH,reterra.de
WBG Pooling,wbg-pooling.eu
Grillo-Werke AG,grillo.de
FKuR Kunststoff GmbH,fkur.com
Deloro Wear Solutions GmbH,deloro.com
KRAIBURG STRAIL GmbH & Co. KG,strail.de
Häffner GmbH & Co. KG,hugohaeffner.com
KrampeHarex GmbH & Co. KG,krampeharex.com
Ferro Duo GmbH,ferroduo.com
BIA Kunststoff- und Galvanotechnik GmbH & Co. KG,bia-group.com
"Wavin GmbH, an Orbia business",wavin.de
Gerflor Deutschland,gerflor.de
W&K Gesellschaft für Industrietechnik mbH,wk-industrietechnik.de
Aperam Germany,aperam.com
Lendis,lendis.io
PRONEXA AG,pronexa.com
IME Process Metallurgy and Metal Recycling,imerecycling.com
Scholz Recycling GmbH,scholz-recycling.com
