company_name,domain,playbook,reason
Lenzing Group,lenzing.com,Private Recyclers & Reprocessors,reference_exemplar
LINZ AG,linzag.at,Private Recyclers & Reprocessors,reference_exemplar
KAB Kärntner Abfallbewirtschaftung GmbH,kab.co.at,Private Recyclers & Reprocessors,reference_exemplar
CAMBRA Recruitment,cambrarecruitment.com,Private Recyclers & Reprocessors,nonfit:recruit
Ingenieurbüro für Industriedemontage,ii-beratung.de,Private Recyclers & Reprocessors,nonfit:beratung
Lundstams Återvinning,lundstams.se,Municipal & Public Waste Operators,reference_exemplar
Veolia Deutschland,veolia.de,"Cement, Energy & RDF Off-takers",reference_exemplar
REMONDIS Industrie Service,remondis.de,"Cement, Energy & RDF Off-takers",reference_exemplar
FCC Environment CEE,fcc-group.eu,"Cement, Energy & RDF Off-takers",reference_exemplar
Agentur für Erneuerbare Energien (AEE),unendlich-viel-energie.de,Wood & Biomass Recyclers,nonfit:agentur
Fachagentur Nachwachsende Rohstoffe e.V. (FNR),fnr.de,Wood & Biomass Recyclers,nonfit:agentur
Holzagentur Schweiz AG,holzagenturschweiz.ch,Wood & Biomass Recyclers,nonfit:agentur
