company_name,domain,playbook,category,matched_term
Ledinek Engineering,ledinek.com,Wood & Biomass Recyclers,competitor,ledinek
SPRINGER Maschinenfabrik GmbH,springer.eu,Wood & Biomass Recyclers,competitor,springer maschinen
Uniforest d.o.o.,uniforest.com,Wood & Biomass Recyclers,competitor,uniforest
Campingplatz Zweckverband Grubenseen,halbendorf.de,Municipal & Public Waste Operators,non_operator,verband
Der Zweckverband,zweckverband-torgau.de,Municipal & Public Waste Operators,non_operator,verband
Der Zweckverband Magnusgruppe,magnusgruppe.de,Municipal & Public Waste Operators,non_operator,verband
Donaumoos-Zweckverband,donaumoos-zweckverband.de,Municipal & Public Waste Operators,non_operator,verband
ecopark (Zweckverband ecopark),ecopark.de,Municipal & Public Waste Operators,non_operator,verband
EDV Zweckverband Prignitz,edvzweckverband.de,Municipal & Public Waste Operators,non_operator,verband
Gaswerk Illingen Zweckverband,gaswerk-illingen.de,Municipal & Public Waste Operators,non_operator,verband
KiTa Zweckverband | Bistum Essen,kita-zweckverband.de,Municipal & Public Waste Operators,non_operator,verband
Kommunaler Zweckverband Stadtbeleuchtung,kzv-stadtbeleuchtung.de,Municipal & Public Waste Operators,non_operator,verband
kommunit IT-Zweckverband Schleswig-Holstein,kommunit.de,Municipal & Public Waste Operators,non_operator,verband
LUCIE - Zweckverband Stadtbahn im Landkreis Ludwigsburg,lucie-stadtbahn.de,Municipal & Public Waste Operators,non_operator,verband
Region Aachen Zweckverband,regionaachen.de,Municipal & Public Waste Operators,non_operator,verband
Staudenwasser Zweckverband,staudenwasser.de,Municipal & Public Waste Operators,non_operator,verband
Unikathe Kita-Zweckverband im Bistum Mainz KdöR,unikathe.de,Municipal & Public Waste Operators,non_operator,verband
VHS-Zweckverband Voreifel,vhs-voreifel.de,Municipal & Public Waste Operators,non_operator,verband
VKU - German Association of Local Public Utilities,vku.de,Municipal & Public Waste Operators,non_operator,association
Volkshochschul-Zweckverband Rhein-Sieg,rhein-sieg-vhs.de,Municipal & Public Waste Operators,non_operator,verband
Vorarlberger Gemeindeverband,gemeindeverband.at,Municipal & Public Waste Operators,non_operator,verband
ZVO I Zweckverband Ostholstein,zvo.com,Municipal & Public Waste Operators,non_operator,verband
Zweckverband,zweckverband.org,Municipal & Public Waste Operators,non_operator,verband
Zweckverband Ammertal-Schönbuchgruppe,asg-wasser.de,Municipal & Public Waste Operators,non_operator,verband
Zweckverband Bauhof TKS,zv-tks.de,Municipal & Public Waste Operators,non_operator,verband
Zweckverband Bayerische Landschulheime,bayern-internate.de,Municipal & Public Waste Operators,non_operator,verband
Zweckverband Bergerlebnis Berchtesgaden,berchtesgaden.de,Municipal & Public Waste Operators,non_operator,verband
Zweckverband Digitale Kommunen Brandenburg,dikom-bb.de,Municipal & Public Waste Operators,non_operator,verband
Zweckverband eGo-Saar,ego-saar.de,Municipal & Public Waste Operators,non_operator,verband
Zweckverband Eichelberger Gruppe,gemeinde-brunn.de,Municipal & Public Waste Operators,non_operator,verband
Zweckverband Erholungsgebiet Thülsfelder Talsperre,thuelsfelder-talsperre.de,Municipal & Public Waste Operators,non_operator,verband
Zweckverband Ev. Jugendarbeit,ev-jugend-eder.de,Municipal & Public Waste Operators,non_operator,verband
Zweckverband Fernwasser Südsachsen,zweckverband-fernwasser-suedsachsen.de,Municipal & Public Waste Operators,non_operator,verband
Zweckverband Fließtal,zv-fliesstal.de,Municipal & Public Waste Operators,non_operator,verband
Zweckverband Flugplatz Bitburg,konversion-bitburg.de,Municipal & Public Waste Operators,non_operator,verband
Zweckverband Gewerbepark Heideloh,gewerbepark-heideloh.de,Municipal & Public Waste Operators,non_operator,verband
Zweckverband Gruppenklärwerk Leudelsbach,azv-leudelsbach.de,Municipal & Public Waste Operators,non_operator,verband
Zweckverband Hohenkemnather Gruppe,zweckverband-hohenkemnather-gruppe.de,Municipal & Public Waste Operators,non_operator,verband
Zweckverband Jugendarbeit,zweckverband-jugendarbeit.de,Municipal & Public Waste Operators,non_operator,verband
Zweckverband Karkbrook,zv-karkbrook.de,Municipal & Public Waste Operators,non_operator,verband
