company_name,domain
Aalborg Portland A/S,aalborgportland.dk
AALBORG WHITE®,aalborgwhite.com
AB Akmenės cementas,cementas.lt
Abfallwirtschaft,abfallwirtschaft.landkreis-harburg.de
Abfallwirtschaft des Landkreises Rhön-Grabfeld,abfall-scout.de
Abfallwirtschaft GmbH Halle - Lochau,aw-halle.de
Abfallwirtschaft Heidekreis AHK,ahk-heidekreis.de
Abfallwirtschaft Hohenlohekreis,abfallwirtschaft-hohenlohekreis.de
Abfallwirtschaft Lahn-Fulda,a-lf.de
Abfallwirtschaft Landkreis Fulda,abfallwirtschaft-landkreis-fulda.de
Abfallwirtschaft Nordharz GmbH,abfallwirtschaft-nordharz-gmbh.de
Abfallwirtschaft Rems-Murr,abfallwirtschaft-rems-murr.de
Abfallwirtschaft Stuttgart Aws,ans-ev.de
Abfallwirtschaft Tirol Mitte Gmbh,atm-online.at
Abfallwirtschaft Torgau-Oschatz GmbH,ato-online.de
Abfallwirtschaft und Stadtreinigung Freiburg GmbH,abfallwirtschaft-freiburg.de
Abfallwirtschaft Vechta,abfallwirtschaft-vechta.de
Abfallwirtschaft Wetteraukreis,awb-wetterau.de
Abfallwirtschaftsbetrieb München,awm-muenchen.de
Abfallwirtschaftsbetriebe Köln GmbH (AWB Köln),awbkoeln.de
AbfallWirtschaftsGesellschaft mbH Bassum,awg-bassum.de
ADG Abfallwirtschaft Delmenhorst GmbH,adg-del.de
AEW Energie AG,aew.ch
AffaldPlus,affaldplus.dk
Affaldvarme Aarhus,affaldvarme.dk
AGR Abfallentsorgungs-Gesellschaft Ruhrgebiet mbH,agr.de
aha - Zweckverband Abfallwirtschaft Region Hannover,aha-region.de
ALBA,alba.info
Alpacem,alpacem.com
Alpacem Austria,alpacem.at
Alpacem Slovenija,alpacem.si
APM Abfallwirtschaft Potsdam-Mittelmark GmbH,apm-niemegk.de
ARC - Amager Resource Centre,a-r-c.dk
ARGO,argo.dk
Auer Abfallwirtschaft,auer-abfallwirtschaft.at
AUREC Gesellschaft für Abfallverwertung und Recycling mbH,aurec.de
AVE Abfallwirtschaft GmbH,avede.de
AW SAS | Abfallwirtschaft Sachsen-Anhalt Süd AöR,awsas.de
AWG Abfallwirtschaft Landkreis Calw GmbH,awg-info.de
AWIGO Abfallwirtschaft Landkreis Osnabrück GmbH,awigo.de
AWISTA Gesellschaft für Abfallwirtschaft und Stadtreinigung mbH,awista.de
awm Abfallwirtschaftsbetriebe Münster,awm.stadt-muenster.de
AWR Abfallwirtschaft Rendsburg-Eckernförde GmbH,awr.de
AWSH Abfallwirtschaft Südholstein GmbH,awsh.de
B+T Group,bt-umwelt.de
Belarusian Cement Plant,belcement.by
Bellersheim Abfallwirtschaft GmbH,bellersheim.de
Betrieb Abfallwirtschaft Nienburg/Weser,bawn.de
BEW Berliner Energie und Wärme GmbH,bew.berlin
BIOTERA član skupine VEOLIA,veolia.si
BIR,bir.no
Calmit Holding GmbH,calmit.com
Calucem,calucem.com
Carmeuse,carmeuse.com
"Cement Hranice, akciová společnost",cement.cz
Cement Ożarów S.A.,ozarow.com.pl
Cementownia ODRA S.A.,odrasa.com.pl
Cementownia Warta S.A.,wartasa.com.pl
"CEMMAC, a. s.",cemmac.sk
Danucem,danucem.com
Dobra Energia Dla Olsztyna,energiaolsztyn.pl
Dortmunder Energie- und Wasserversorgung GmbH (DEW21),dew21.de
Duna-Dráva Cement Kft.,duna-drava.hu
Dyckerhoff,dyckerhoff.com
Dyckerhoff Polska,dyckerhoff.pl
EEW Energy from Waste GmbH,eew-energyfromwaste.com
EEW Energy from Waste Stapelfeld GmbH,eon-energyfromwaste.com
EGK Entsorgungsgesellschaft Krefeld GmbH & Co. KG,egk.de
Eko Toplane Banja Luka,ekotoplanebanjaluka.com
Energie Thun AG,energiethun.ch
Energie Zürichsee Linth AG,ezl.ch
erzo KVA,erzo-kva.ch
EVI Abfallverwertung B.V. & Co. KG,evi-europark.de
Fels-Werke GmbH,fels.de
Finnsementti Oy,finnsementti.fi
Fjernvarme Fyn,fjernvarmefyn.dk
FORTE Energie GmbH & Co.KG,forte-energie.de
Fortum,fortum.com
Frederikshavn Forsyning,forsyningen.dk
Fredrikstad Fjernvarme AS,ffas.no
GEKAL-KVA Buchs,kva-buchs.ch
GEMINOR,geminor.no
Gesellschaft Abfallwirtschaft Breisgau,abfallwirtschaft-breisgau.de
GEVAG,gevag.ch
GfA - Gemeinsames Kommunalunternehmen für Abfallwirtschaft A. d. ö. R.,gfa-online.com
GFAW Gesellschaft für Abfallwirtschaft mbH,gfaw-i.de
GML – Gemeinschafts-Müllheizkraftwerk Ludwigshafen GmbH,gml-ludwigshafen.de
GÓRKA CEMENT Sp. z o.o.,gorka.com.pl
HEB GmbH Hagener Entsorgungsbetrieb,heb-hagen.de
Hessler Kalkwerke GmbH,hessler-kalkwerk.de
InterCal Group,intercal.org
Intereko Energia Sp. z o.o.,interekoenergia.pl
Interzero Austria,interzero.at
Interzero Hrvatska,interzero.hr
Interzero Polska,interzero.pl
June Avfall & Miljö AB,juneavfall.se
JURA Materials,juramaterials.ch
KALK A/S,kalk.dk
Kalkfabrik Netstal AG,kfn.ch
Kalkwerke Otto Breckweg GmbH & CO.KG,breckweg.de
kenova AG,kenova.ch
Kirchdorfer Group,kirchdorfer.at
Kongerslev Kalk A/S,kongerslev-kalk.dk
KVA Linth,kva-linth.ch
Landratsamt Tuttlingen Abfallwirtschaft,abfall-tuttlingen.de
Leube Baustoffe,leube.eu
Lhoist Germany / Rheinkalk,lhoist.com
Limeco Regiowerk,limeco.ch
Loacker Recycling GmbH,loacker-recycling.com
Lukavac Cement d.o.o.,lukavaccement.ba
Marius Pedersen A/S,mariuspedersen.dk
MGG Polymers,mgg-polymers.com
Miejska Energetyka Cieplna Sp. z o.o. w Koszalinie,meckoszalin.pl
Miejskie Przedsiębiorstwo Energetyki Cieplnej - Konin Sp. z o.o.,mpec.konin.pl
Moravacem a CRH company,moravacem.rs
MVV Energie AG,mvv.de
Märker Gruppe,maerker-gruppe.de
Målarkalk AB,malarkalk.se
Müller-Guttenbrunn Gruppe,mgg-recycling.com
Nachtrab Abfallwirtschaft,nachtrab-abfallwirtschaft.de
Nehlsen AG,nehlsen.com
NEXE Group,nexe.hr
Nordkalk Corporation,nordkalk.com
Norfors,norfors.dk
NSR AB,nsr.se
OLO - Odvoz a likvidácia odpadu,olo.sk
OPTERRA - a CRH Company,opterra-crh.com
Paprec Schweiz,paprec.ch
Polcalc Nawozy Wapniowe,polcalc.pl
Port Czystej Energii,portczystejenergii.pl
Považská cementáreň Ladce,pcla.sk
PÖPPEL Abfallwirtschaft und Städtereinigung GmbH,poeppel.de
Ragn-Sells,ragnsells.se
Ragn-Sells AS,ragnsells.no
Ragn-Sells Danmark A/S,ragnsells.dk
Ragn-Sells Estonia,ragnsells.ee
Ragn-Sells Group,ragnsells.com
REFA,refa.dk
