company_name,domain
#tide®,tide.earth
1.PLASTCOMPANY & VALPLAST,1plastcompany.cz
1AK-GROUP,1ak-group.com
1TECOplast GmbH,tecoplast.de
2M Recycling GmbH,2m-recycling.de
3stepIT,3stepit.com
4 Polymer LTD.,4polymer.com
4R Fo(u)r Recycling GmbH,4-recycling.de
[k]nord GmbH,k-nord.com
A/S Skræps Vognmandsforretning af 1927,skræps.dk
A/S Vinmonopolet,vinmonopolet.no
Aage Vestergaard Larsen A/S,avl.dk
Aarbakke AS,aarbakke.no
AB Sundplast,sundplast.se
ABAS Miljøservice,abas.dk
Abbruch,mh-abbruch.de
ABENA,abena.com
ABENA Deutschland,abena.de
Abfall-Service Osterholz GmbH,aso-ohz.de
Abfallentsorgungs- und Stadtreinigungsbetrieb der Stadt Chemnitz (ASR),asr-chemnitz.de
Abfallexpress GmbH,abfallexpress.de
Abfallwirtschaft,abfallwirtschaft.landkreis-harburg.de
Abfallwirtschaft des Landkreises Rhön-Grabfeld,abfall-scout.de
Abfallwirtschaft GmbH Halle - Lochau,aw-halle.de
Abfallwirtschaft Heidekreis AHK,ahk-heidekreis.de
Abfallwirtschaft Hohenlohekreis,abfallwirtschaft-hohenlohekreis.de
Abfallwirtschaft Lahn-Fulda,a-lf.de
Abfallwirtschaft Landkreis Fulda,abfallwirtschaft-landkreis-fulda.de
Abfallwirtschaft Nordharz GmbH,abfallwirtschaft-nordharz-gmbh.de
Abfallwirtschaft Rems-Murr,abfallwirtschaft-rems-murr.de
Abfallwirtschaft Stuttgart Aws,ans-ev.de
Abfallwirtschaft Tirol Mitte Gmbh,atm-online.at
Abfallwirtschaft Torgau-Oschatz GmbH,ato-online.de
Abfallwirtschaft und Stadtreinigung Freiburg GmbH,abfallwirtschaft-freiburg.de
Abfallwirtschaft Vechta,abfallwirtschaft-vechta.de
Abfallwirtschaft Wetteraukreis,awb-wetterau.de
Abfallwirtschaftsbetrieb München,awm-muenchen.de
Abfallwirtschaftsbetriebe Köln GmbH (AWB Köln),awbkoeln.de
AbfallWirtschaftsGesellschaft mbH Bassum,awg-bassum.de
ABL-TECHNIC Group,abl-technic.de
Abrag AG,abrag.ch
ACCUREC-Recycling GmbH,accurec.de
ACO Bulgaria,aco.bg
ACO Hrvatska,aco.hr
ACO Poland,aco.pl
Action S.A.,action.pl
Activ Industrie GmbH,activindustrie.de
adapa Group,adapa-group.com
ADG Abfallwirtschaft Delmenhorst GmbH,adg-del.de
AES Autonome Energiesysteme GmbH,aestechnik.de
AEU Abfall-Entsorgung Ulm GmbH & Co. KG,abfall-entsorgung-ulm.de
AF Offshore Decom,afgruppen.com
AffaldPlus,affaldplus.dk
Agder Renovasjon,agderrenovasjon.no
AGIR AG,agir.biz
Agito Medical,agitomedical.com
AGR Abfallentsorgungs-Gesellschaft Ruhrgebiet mbH,agr.de
AGROCHEMA,agrochema.lt
AGRU Kunststofftechnik GmbH,agru.at
AGU direkt GmbH,agu-gmbh.de
AHE GmbH,ahe.de
AJ Power,ajpower.lv
Aker Offshore Wind,akeroffshorewind.com
AKPOL RECYKLING SP. Z O.O.,akpolrecykling.pl
Al Pack Group,alpackgroup.com
ALBA,alba.info
Albert Bergschneider GmbH,bergschneider.de
alesco Folien GmbH & Co. KG,alesco.net
All4Labels - Global Packaging Group,all4labels.com
Alles Miljø AS,alles.no
Allguth GmbH,allguth.de
Allmeta – Schrott und Altmetall,allmeta.de
Alnatura,alnatura.de
ALRO,alro.ro
Alsco Berufskleidungs-Service GmbH,alsco.de
ALTEO,alteo.hu
ALTEO Circular,fegroup.hu
Altola AG,altola.ch
Alumeco Group,alumeco.dk
Aluminij Industries,aluminij.com
Aluplast Sp. z o.o.,aluplast.com.pl
Alza.sk s.r.o.,alza.sk
Ambrock GmbH,ambrock.de
Amodes GmbH,amodes.de
AMPCO METAL,ampcometal.com
ams Umweltschutz GmbH,amsberlin.de
Amsler & Frey AG,amsler-frey.ch
AMYDO solutions,amydo-solutions.com
ANDREW s.c.,andrew.net.pl
Antal Gruppe,antal-gruppe.de
Antec,antecbiogas.com
Aperam Germany,aperam.com
APLAST d.o.o.,aplast.si
APM Abfallwirtschaft Potsdam-Mittelmark GmbH,apm-niemegk.de
APPLiA Bulgaria,applia.bg
ARA - Altstoff Recycling Austria AG,ara.at
Arbeitsgemeinschaft Stoffspezifische Abfallbehandlung (ASA) e. V.,asa-ev.de
ARC – Amager Ressourcecenter,a-r-c.dk
Aregger AG Bauunternehmung,aregger-ag.ch
AREIS GmbH Entsorgung,areis-entsorgung.de
ARGE Österreichischer Abfallwirtschaftsverbände,argeawv.at
ARGO,argo.dk
Argor-Heraeus SA,argor-heraeus.com
Armos Exim,armos.ro
ARTROM STEEL TUBES,artrom.com
Arwos,arwos.dk
AS Aufzüge AG,lift.ch
AS Metal Com SRL,asmetal.ro
AS Recycling GmbH,as-recycling.eu
Asbex GmbH,asbex.de
Ascendum Austria,ascendum.at
ASEKOL a.s.,asekol.cz
ASEKOL PL,asekol.pl
Asseco BERIT GmbH,asseco-berit.de
Assens Forsyning A/S,assensforsyning.dk
AST Kunststoffverarbeitung GmbH,ast-kanister.de
ASUP GmbH,asup.info
ASUP Technik GmbH,asuptechnik.de
Ate Plast OOD,ateplast.eu
Ateliere Fără Frontiere,atelierefarafrontiere.ro
ATEV Zrt.,atev.hu
ATUS GROUP,atus.com.pl
Auer Abfallwirtschaft,auer-abfallwirtschaft.at
Augsburger Rohstoffhandel GmbH,augsburger-rohstoffhandel.de
August Leber Rohstoffe Handelsgesellschaft mbH,leberrohstoffe.com
Augustin Entsorgung,augustin-entsorgung.de
AUREC Gesellschaft für Abfallverwertung und Recycling mbH,aurec.de
Austria Glas Recycling GmbH,agr.at
AustroCel Hallein GmbH,austrocel.com
Austropapier,austropapier.at
Austrotherm GmbH,austrotherm.at
Autocirc,autocirc.com
Automobil Industrie,vogel.de
Autoteilevertrieb Heise u. Klatte GmbH,heiseklatte.de
AV Möck GmbH,av-moeck.de
AVA Velsen GmbH,ava-velsen.de
AVaccani & Partners | now: Roland Berger,avp-group.net
AVAG Holding SE,avag.eu
AVE Abfallwirtschaft GmbH,avede.de
AVE Romania,ave-bihor.ro
Avfall & Återvinning Skaraborg,avfallskaraborg.se
Avfall Sverige,avfallsverige.se
Avfall Sør,avfallsor.no
Avfallssekk AS,avfallsekk.no
AVG Köln mbH,avgkoeln.de
AVL Ludwigsburg,avl-ludwigsburg.de
AW SAS | Abfallwirtschaft Sachsen-Anhalt Süd AöR,awsas.de
AWG Abfallwirtschaft Landkreis Calw GmbH,awg-info.de
AWIGO Abfallwirtschaft Landkreis Osnabrück GmbH,awigo.de
AWISTA Gesellschaft für Abfallwirtschaft und Stadtreinigung mbH,awista.de
awm Abfallwirtschaftsbetriebe Münster,awm.stadt-muenster.de
AWR Abfallwirtschaft Rendsburg-Eckernförde GmbH,awr.de
AWSH Abfallwirtschaft Südholstein GmbH,awsh.de
Axel Springer,axelspringer.com
Axians Athos,axians-athos.de
Axjo Group,axjo.com
Azortum,azortum.com
AZuR-Netzwerk,azur-netzwerk.de
B&W International GmbH,b-w-international.com
B+T Group,bt-umwelt.de
BACHMANN GROUP,bachmann.ch
Bachofen AG,bachofen.ch
Bader Paul Transporte AG,bader-regensdorf.ch
BAGSTAGE GmbH — Die Tragetaschen Company,bagstage.de
Bakic Group,bakic.com
Balkan Polymers Group,balkanpolymers.com
Baltic Waste & Energy Group,bweg.eu
bannerstop GmbH,bannerstop.com
BARES Baustoffhandel und Reifenservice GmbH,bares-baustoffe.de
Barthmann Kunststoff Recycling GmbH,barthmann-kunststoff.de
Base Group Sp. z o.o.,basemetal.eu
BASIC's Hungária Kft.,basic-online.hu
Baskarad AG,baskarad.ch
BATREC Industrie AG,batrec.ch
Batterie-zurück – Gemeinsame Stelle für Kommunikation,batterie-zurueck.de
Batteriretur,batteriretur.no
Bauer Biomasse,bauer-biomasse.de
Bauer Recycling GmbH,bauer-recycling.de
Baukom Bauprodukte GmbH,baukom-group.de
Baustoffzentrum,baustoffzentrum.ch
BCAW Bildungscenter GmbH,bcaw-bildungscenter-rostock.de
BEB Entsorgungs GmbH,beb-entsorgung.de
Becker Umweltdienste GmbH,becker-umweltdienste.de
