company_name,domain
A.KRÜSS Optronic GmbH,kruess.com
Abberior Instruments GmbH,abberior.rocks
AICON 3D Systems GmbH (Hexagon),aicon.de
ASM Automation Sensorik Messtechnik GmbH,positionsensor.com
Auer Lighting GmbH,auer-lighting.com
Belec Spektrometrie Opto-Elektronik GmbH,belec.de
Berliner Glas KGaA (ASML Berlin),berlinerglas.com
Bernhard Halle Nachfl. GmbH,b-halle.de
burster präzisionsmesstechnik GmbH & Co. KG,burster.de
Chromasens GmbH,chromasens.de
DataPhysics Instruments GmbH,dataphysics.de
Dioptic GmbH,dioptic.de
Docter Optics SE,docteroptics.com
F.W. Breithaupt & Sohn GmbH & Co. KG,breithaupt.de
FISBA AG,fisba.com
GL Messtechnik GmbH,gl-messtechnik.de
GOM GmbH (Carl Zeiss GOM Metrology),gom.com
Haag-Streit Group AG,haag-streit.com
HEIDENHAIN GmbH,heidenhain.de
Heliotis AG,heliotis.com
HITEC Messtechnik GmbH,hitec-messtechnik.de
INGENERIC GmbH,ingeneric.com
Jenoptik AG,jenoptik.com
KETEK GmbH,ketek.net
Kugler GmbH Feinmechanik + Optik,kuglergmbh.com
Lamtech Lasermesstechnik GmbH,lamtech.de
LaVision GmbH,lavision.de
Leica Geosystems AG,leica-geosystems.com
Leica Microsystems GmbH,leica-microsystems.com
Leisegang Feinmechanik Optik GmbH,leisegang.de
LT Ultra-Precision Technology GmbH,lt-ultra.com
Mahr GmbH,mahr.com
Micro-Epsilon Messtechnik GmbH & Co. KG,micro-epsilon.de
MICROS Optics GmbH & Co. KG,micros-optics.com
Mitho Industrie-Elektronik und Koordinaten-Messtechnik GmbH,mitho.de
MORA Metrology GmbH,mora-metrology.de
Möller-Wedel Optical GmbH,moeller-wedel-optical.com
NanoFocus AG,nanofocus.de
Nöding Messtechnik GmbH,noeding.de
OCULUS Optikgeräte GmbH,oculus.de
OEG GmbH,oeg-metrology.de
OGP Messtechnik GmbH,ogp-messtechnik.de
Optelec GmbH,optelec.de
Optocraft GmbH,optocraft.de
OPTOMECH GmbH,optomech.de
OptoSurf GmbH,optosurf.de
OptoTech Optikmaschinen GmbH,optotech.net
OWIS GmbH,owis.eu
PCO GmbH (Excelitas PCO),pco.de
Physik Instrumente (PI) GmbH & Co. KG,physikinstrumente.de
POG Präzisionsoptik Gera GmbH,pog.eu
Polytec GmbH,polytec.com
Precitec Optronik GmbH,precitec.com
Qioptiq Photonics GmbH & Co. KG (Excelitas),excelitas.com
Schneider-Kreuznach GmbH & Co. KG,schneiderkreuznach.com
Schäfter + Kirchhoff GmbH,sukhamburg.com
Sill Optics GmbH & Co. KG,silloptics.de
SIOS Messtechnik GmbH,sios-precision.com
SmarAct GmbH,smaract.com
SmartRay GmbH,smartray.com
Status Pro Maschinenmesstechnik GmbH,statuspro.de
Steinbichler Optotechnik GmbH (ZEISS Optotechnik),zeiss.com
TOPTICA Photonics SE,toptica.com
Trioptics GmbH,trioptics.com
TWK-Elektronik GmbH,twk.de
VIAOPTIC GmbH,viaoptic.de
Vision & Control GmbH,vision-control.com
VISIONTECHNIK GmbH,visiontechnik.de
VITRONIC Machine Vision GmbH,vitronic.com
VMT Vision Machine Technic Bildverarbeitungssysteme GmbH,vmt-vision-technology.com
WayCon Positionsmesstechnik GmbH,waycon.de
Wenzel Group GmbH & Co. KG,wenzel-group.com
Werth Messtechnik GmbH,werth.de
WILD Gruppe GmbH,wild.at
WITec GmbH,witec.de
ZETT MESS GmbH,zettmess.de
