company_name,domain,playbook_name
3D-Lasertec,3dlasertec.eu,Antriebstechnik & Elektromotoren
A.N. Wallis & Co Ltd,an-wallis.co.uk,Antriebstechnik & Elektromotoren
ABB Motors and Generators,new.abb.com,Antriebstechnik & Elektromotoren
ABM Greiffenberger Antriebstechnik GmbH,abm-antriebe.de,Antriebstechnik & Elektromotoren
Acuvi,acuvi.com,Antriebstechnik & Elektromotoren
Addax Motors,addex-group.com,Antriebstechnik & Elektromotoren
ADE Power,ade-power.com,Antriebstechnik & Elektromotoren
Advanced Electric Machines,advancedelectricmachines.com,Antriebstechnik & Elektromotoren
AEG Power Solutions,aegps.com,Antriebstechnik & Elektromotoren
AEM Dessau GmbH (Anhaltische Elektromotorenwerk),aemdessau.de,Antriebstechnik & Elektromotoren
AF Switchgear,afswitchgear.co.uk,Antriebstechnik & Elektromotoren
AJS Control & Automation,ajsspalding.co.uk,Antriebstechnik & Elektromotoren
Aldakin,aldakin.com,Antriebstechnik & Elektromotoren
Alfen,alfen.com,Antriebstechnik & Elektromotoren
Allego,allego.eu,Antriebstechnik & Elektromotoren
Alren Motores Eléctricos,alren.es,Antriebstechnik & Elektromotoren
Amica Group,amica.pl,Antriebstechnik & Elektromotoren
Amphenol-Tuchel Electronics GmbH,amphenol-automotive.de,Antriebstechnik & Elektromotoren
Ania Holding,aniaholding.pl,Antriebstechnik & Elektromotoren
Anord Mardix,anordmardix.com,Antriebstechnik & Elektromotoren
Antriebssysteme Faurndau GmbH,faurndau.de,Antriebstechnik & Elektromotoren
APC by Schneider Electric,apc.com,Antriebstechnik & Elektromotoren
APS Energia SA,apsenergia.pl,Antriebstechnik & Elektromotoren
Arctic,arctic.ro,Antriebstechnik & Elektromotoren
Area Cooling Solutions,areacooling.com,Antriebstechnik & Elektromotoren
Ariadna,ariadnagrid.com,Antriebstechnik & Elektromotoren
Arteche,arteche.com,Antriebstechnik & Elektromotoren
Asociación de Fabricantes de Material Eléctrico - AFME,afme.es,Antriebstechnik & Elektromotoren
ASTRO Motoren,astro-motoren.de,Antriebstechnik & Elektromotoren
ASTRO Motorengesellschaft mbH,astro-motors.com,Antriebstechnik & Elektromotoren
AT Motors,at-motors.it,Antriebstechnik & Elektromotoren
ATAS elektromotory Náchod a.s.,atas.cz,Antriebstechnik & Elektromotoren
ATB Austria Antriebstechnik AG,atb-motors.com,Antriebstechnik & Elektromotoren
ATE Antriebstechnik und Entwicklungs GmbH,ate-system.de,Antriebstechnik & Elektromotoren
ATECH Antriebstechnik GmbH,atech-antriebstechnik.de,Antriebstechnik & Elektromotoren
ATEK Drive Solutions,atek.de,Antriebstechnik & Elektromotoren
ATM Lighting,atmlighting.pl,Antriebstechnik & Elektromotoren
ATP Antriebstechnik,atp-antriebstechnik.at,Antriebstechnik & Elektromotoren
AuCom,aucom.com,Antriebstechnik & Elektromotoren
Automatica SA,automatica.ro,Antriebstechnik & Elektromotoren
AVK-SEG,avk-seg.com,Antriebstechnik & Elektromotoren
AXIMA Solutions,axima-obchod.cz,Antriebstechnik & Elektromotoren
Bachner Group,bachner.de,Antriebstechnik & Elektromotoren
BARTH GMBH E-Motoren & Trafos,barth-gmbh.at,Antriebstechnik & Elektromotoren
BAUER Elektroanlagen,bauer-netz.de,Antriebstechnik & Elektromotoren
Bauer Gear Motor,bauergears.com,Antriebstechnik & Elektromotoren
Bauknecht AG,bauknecht.ch,Antriebstechnik & Elektromotoren
Baß Antriebstechnik GmbH,bass-antriebstechnik.de,Antriebstechnik & Elektromotoren
BEAMA,beama.org.uk,Antriebstechnik & Elektromotoren
beegy GmbH,beegy.com,Antriebstechnik & Elektromotoren
Beghelli S.p.A.,beghelli.it,Antriebstechnik & Elektromotoren
BEN Buchele Elektromotorenwerke GmbH,benbuchele.de,Antriebstechnik & Elektromotoren
Bender,bender.de,Antriebstechnik & Elektromotoren
BERDIN GRUPO,berdin.com,Antriebstechnik & Elektromotoren
BEZ TRANSFORMÁTORY,bez.sk,Antriebstechnik & Elektromotoren
BJC,bjc.es,Antriebstechnik & Elektromotoren
BLOCK Transformatoren-Elektronik GmbH,block.eu,Antriebstechnik & Elektromotoren
Bonfiglioli,bonfiglioli.com,Antriebstechnik & Elektromotoren
BORA,bora.com,Antriebstechnik & Elektromotoren
Bosch Engineering GmbH,bosch-engineering.com,Antriebstechnik & Elektromotoren
Bosch España,grupo-bosch.es,Antriebstechnik & Elektromotoren
Bosch Česká republika,bosch.cz,Antriebstechnik & Elektromotoren
Bowers Electricals Ltd,bowerselec.co.uk,Antriebstechnik & Elektromotoren
