company_name,domain
A+F Automation + Fördertechnik GmbH,af-gmbh.de
AFFELDT Maschinenbau GmbH,affeldt.com
alpha pack GmbH,alphapack.de
Ampack GmbH,ampack-solutions.com
beck packautomaten GmbH & Co. KG,beck-packautomaten.com
Benhil GmbH,benhil.de
BEUMER Group GmbH & Co. KG,beumer.com
Bluhm Systeme GmbH,bluhmsysteme.com
BREITNER Abfüllanlagen GmbH,breitner-abfuellanlagen.de
BVM Brunner GmbH & Co. KG,bvm-brunner.de
Böske Verpackungssysteme GmbH,boeske-gmbh.de
DIOSNA Dierks & Söhne GmbH,diosna.de
Exaktapack Deutschland GmbH,exaktapack.de
FAWEMA GmbH,fawema.com
Feige FILLING GmbH,feige-filling.de
FOCKE & CO. GmbH & Co. KG,focke.com
FRICKE Dosing & Filling Systems GmbH,frickedosing.com
FRITSCH Bakery Technologies GmbH & Co. KG,fritsch-group.com
Fuji Packaging GmbH,fuji-packaging.de
Gebrüder Lödige Maschinenbau GmbH,loedige.de
Gerhard Schubert GmbH,schubert.group
GERNEP GmbH,gernep.de
Groninger & Co. GmbH,groninger-group.com
Günther Maschinenbau GmbH,guenther-maschinenbau.de
Harro Höfliger Verpackungsmaschinen GmbH,hoefliger.com
Hastamat Verpackungstechnik GmbH,hastamat.com
HERMA GmbH,herma.de
Hermann Waldner GmbH & Co. KG,waldner.de
HOLAC Maschinenbau GmbH,holac.de
Hugo Beck Maschinenbau GmbH & Co. KG,hugobeck.com
ILAPAK Verpackungsmaschinen GmbH,ilapak.de
ILLIG packaging solutions GmbH & Co. KG,illig.de
IWK Verpackungstechnik GmbH,iwk.de
J+P Maschinenbau GmbH,jp-maschinenbau.de
KHS GmbH,khs.com
KHW Maschinenbau GmbH,khw-maschinenbau.de
Kiefel GmbH,kiefel.com
KOCH Pac-Systeme GmbH,koch-pac-systeme.com
KRONEN GmbH,kronen.eu
Krones AG,krones.com
KÖRA-PACKMAT Maschinenbau GmbH,koera-packmat.de
LASKA Maschinenfabrik GesmbH,laska.at
LoeschPack GmbH & Co. KG,loeschpack.com
Lutz-Jesco GmbH,lutz-jesco.com
Maschinenfabrik Seydelmann KG,seydelmann.com
Meierhofer Inox AG,meierhofer-maschinen.ch
Miromatic Maschinenbau GmbH,miromatic.de
MULTIVAC Sepp Haggenmüller SE & Co. KG,multivac.com
multiweigh GmbH,multiweigh.com
Optima packaging group GmbH,optima-packaging.com
Padotec GmbH,padotec.de
Pamminger GmbH,pamminger.at
PAXMATIC AG,paxmatic.ch
Petri Verpackungstechnik GmbH,petri-verpackungstechnik.de
Poly-clip System GmbH & Co. KG,polyclip.com
Prewa Verpackungsmaschinen GmbH,prewa-packaging.de
Profipack Verpackungsmaschinen GmbH,profipack.at
R.WEISS Packaging GmbH & Co. KG,r-weiss.de
RATIONATOR Maschinenbau GmbH,rationator.de
ROTA Verpackungstechnik GmbH & Co. KG,rota-verpackungstechnik.de
ROVEMA GmbH,rovema.com
Rychiger AG,rychiger.com
Rühle & Co. Maschinenbau GmbH,ruehlemaschinen.de
SCHRÖDER Maschinenbau GmbH,schroeder-maschinenbau.eu
Schwatec GmbH,schwatec.com
SEALPAC GmbH,sealpac.de
SN Maschinenbau GmbH,sn-packaging.com
SOLLICH KG,sollich.com
SOMIC Packaging GmbH & Co. KG,somic-packaging.com
STATEC BINDER GmbH,statec-binder.com
Supervac Maschinenbau Ges.m.b.H.,supervac.at
synopac AG,synopac.ch
Syntegon Technology GmbH,syntegon.com
THEEGARTEN-PACTEC GmbH & Co. KG,theegarten-pactec.de
Uhlmann Pac-Systeme GmbH & Co. KG,uhlmann.de
Variovac GmbH,variovac.de
VC999 Verpackungssysteme AG,vc999.ch
VEMAG Maschinenbau GmbH,vemag.de
ViscoTec Pumpen- u. Dosiertechnik GmbH,viscotec.de
Weber Food Technology SE & Co. KG,weberweb.com
Windmöller & Hölscher KG,wuh-group.com
Winkler und Dünnebier Süßwarenmaschinen GmbH,w-u-d.com
Wächter Packautomatik GmbH & Co. KG,waechter-packautomatik.de
Ziemann Holvrieka GmbH,ziemann-holvrieka.com
Eindeutige Unternehmen gesamt: 84 | davon neu gegenüber master: 0
