company_name,company_domain,playbook_name
Bitpanda,bitpanda.com,Banking & Financial Services DACH
wikifolio,wikifolio.com,Banking & Financial Services DACH
froots,froots.io,Banking & Financial Services DACH
Cashpresso,cashpresso.com,Banking & Financial Services DACH
Coinfinity,coinfinity.co,Banking & Financial Services DACH
Bluecode,bluecode.com,Banking & Financial Services DACH
kompany,kompany.com,Banking & Financial Services DACH
Morpher,morpher.com,Banking & Financial Services DACH
PayLife,paylife.at,Banking & Financial Services DACH
PSA Payment Services Austria,psa.at,Banking & Financial Services DACH
Bsurance,bsurance.com,Banking & Financial Services DACH
Finabro,finabro.at,Banking & Financial Services DACH
Raiffeisen Capital Management,rcm.at,Banking & Financial Services DACH
Erste Asset Management,erste-am.com,Banking & Financial Services DACH
KEPLER-FONDS KAG,kepler.at,Banking & Financial Services DACH
IQAM Invest,iqam.com,Banking & Financial Services DACH
Amundi Austria,amundi.at,Banking & Financial Services DACH
C-Quadrat Investment Group,c-quadrat.com,Banking & Financial Services DACH
3 Banken-Generali Investment,3bg.at,Banking & Financial Services DACH
Gutmann KAG,gutmannfonds.at,Banking & Financial Services DACH
Masterinvest Kapitalanlage,masterinvest.at,Banking & Financial Services DACH
Security KAG,securitykag.at,Banking & Financial Services DACH
Allianz Invest KAG,allianzinvest.at,Banking & Financial Services DACH
LLB Invest KAG,llbinvest.at,Banking & Financial Services DACH
Wiener Börse,wienerborse.at,Banking & Financial Services DACH
CEESEG,ceeseg.com,Banking & Financial Services DACH
VOLKSBANK WIEN,volksbankwien.at,Banking & Financial Services DACH
Volksbank Niederösterreich,vbnoe.at,Banking & Financial Services DACH
Volksbank Oberösterreich,vb-ooe.at,Banking & Financial Services DACH
Volksbank Salzburg,volksbanksalzburg.at,Banking & Financial Services DACH
Volksbank Tirol,volksbank.tirol,Banking & Financial Services DACH
Volksbank Vorarlberg,volksbank-vorarlberg.at,Banking & Financial Services DACH
Volksbank Kärnten,volksbank-kaernten.at,Banking & Financial Services DACH
Volksbank Steiermark,volksbank-stmk.at,Banking & Financial Services DACH
Österreichischer Genossenschaftsverband,genossenschaftsverband.at,Banking & Financial Services DACH
UniCredit Bank Austria,bankaustria.at,Banking & Financial Services DACH
BAWAG P.S.K.,bawag.at,Banking & Financial Services DACH
Oberbank,oberbank.at,Banking & Financial Services DACH
BKS Bank,bks.at,Banking & Financial Services DACH
BTV Vier Länder Bank,btv.at,Banking & Financial Services DACH
Addiko Bank,addiko.com,Banking & Financial Services DACH
Austrian Anadi Bank,anadibank.com,Banking & Financial Services DACH
