company_name,domain
Robert Bosch,bosch-mobility.com
MAHLE,mahle.com
thyssenkrupp Dynamic Components,thyssenkrupp-automotive-technology.com
Woodward L'Orange,lorange.com
Liebherr Components,liebherr.com
HEINZMANN,heinzmann.com
Maschinenfabrik GUIDO,guido.de
Winkelmann Automotive,winkelmann-automotive.de
Felss Group,felss.com
Windschiegl Maschinenbau,windschiegl.de
Schmidt Automotive,schmidt-cnc.de
Mubea Motorkomponenten,mubea.com
Maerkisches Werk MWH,mwh.de
KS Kolbenschmidt,kolbenschmidt.com
Wahl Spezialkolben,wahl-spezialkolben.de
NOVA WERKE Nova Swiss,novaswiss.com
DUAP,duap.ch
Hirschvogel,hirschvogel.com
Pierburg Rheinmetall,rheinmetall.com
Vitesco Technologies,vitesco-technologies.com
GGB Bearings,ggbearings.com
CSB Gleitlager,csb-gleitlager.de
Edelmann Gleitlagertechnik,edelmann-gleitlager.de
Heinrichs Drehteile,heinrichs.de
Landolt Zerspanungstechnik,landolt-zerspanungstechnik.de
Dr Schrick,schrick.com
MAT Foundry Group,matfoundrygroup.com
ElringKlinger,elringklinger.de
HERA Rahmer,hera-rahmer.com
CADECK,cadeck.de
HAILTEC,hailtec.de
Hoeppe Federn,hoeppe-federn.de
Puettmer,puettmer-gmbh.de
Kronz Antriebstechnik,kronz-antriebstechnik.de
KLEINER Stanztechnik,kleiner-gmbh.de
TEPROSA,teprosa.de
Erich Grau,erichgrau.de
Additive Drives,additive-drives.de
Seckelmann,seckelmann.eu
Binder Tecsys,binder-tecsys.com
Jehle AG,jehleag.ch
SCHERDEL,scherdel.com
KOSTAL Kontakt Systeme,kostal-kontakt-systeme.com
Rosenberger,rosenberger.com
ODU,odu.de
Hirschmann Automotive,hirschmann-automotive.com
Schaltbau,schaltbau.com
Staeubli,staubli.com
Phoenix Contact,phoenixcontact.com
TPS Elektronik,tps-elektronik.com
KMMP Kurt Maier Motor-Press,kmmp.de
EMP Tech,empcasting.com
technotrans,technotrans.de
EKL,ekl-ag.de
COOLTEC,cooltec.de
SEG Automotive,seg-automotive.com
Silver Atena,silver-atena.com
eMoSys,emosys.com
Magna,magna.com
Purem by Eberspaecher,purem.com
SGL Carbon,sglcarbon.com
Susa Sauer,susa-sauer.de
Anton Haering KG,anton-haering.com
Richard Moser KG,moser-drehteile.de
JOPP Group,jopp.com
MESA Parts,mesa-parts.com
Drehteile Loga,drehteile-loga.de
Feindreh,feindreh.de
DMD,dmd-gmbh.at
Haeni und Co AG,hanitec.ch
nass magnet,nassmagnet.com
Bavaria Fluid Systems,bavaria-fluid-systems.de
Strautmann Hydraulik,strautmann-hydraulik.de
MEESE,meese-gmbh.de
Lang Metall,lang-metall.de
Werner Schmid,werner-schmid.de
MSM Haenel,max-mennicke.de
Euscher,euscher.com
Heinrich und Walter Dahmen,dahmen-iserlohn.de
Wehler Stanztechnik,wehler-stanztechnik.de
Maedel Metall,maedel-metall.de
Robert Hofmann,r-hofmann.de
Continental ATE,ate.de
Brembo Deutschland,brembo.com
ZF Friedrichshafen,zf.com
Knorr-Bremse,knorr-bremse.com
TMD Friction,tmdfriction.com
Otto Zimmermann,otto-zimmermann.de
SHW,shw.de
Fritz Winter Eisengiesserei,fritzwinter.de
FTE automotive,fte-automotive.com
Knott,knott.de
GKN Automotive,gknautomotive.com
NSK,nsk.com
JTEKT Europe,jtekt.com
Hella,hella.com
febi bilstein,febi.com
Tarox Brakes,taroxbrakes.de
Famag,famag.ch
Viro Schmiedeteile,viro.com
IMS Gear,imsgear.com
KOEPFER Zahnrad und Getriebetechnik,koepfer.com
Haenel Zahnradfabrik,haenel-zahnrad.de
Zahnradbau Ruger,zahnradbau-ruger.de
Rotax Hemmingen,rotax.de
Stelter Zahnradfabrik,stelter.de
Chemnitzer Zahnradfabrik,czf-gears.com
ABP Antriebstechnik,abp-antrieb.de
JAKOB Antriebstechnik,jakob-kupplung.com
Eisele Antriebstechnik,eisele-getriebe.de
KA Antriebstechnik,ka-antriebstechnik.de
Stoeber Antriebstechnik,stoeber.de
Bernhard Marquart Praezisionsdrehteile,bernhard-marquart.de
GEWES Gelenkwellenwerk Stadtilm,gewes.de
Findling Waelzlager,findling.com
Cerobear,cerobear.com
Sauter Bachmann,sauterbachmann.ch
Charles Haemmerle,verzahnungen.ch
Josef GmbH,josef-gmbh.at
Grampelhuber,grampelhuber.at
